	mH1	mH2	mH3	thetahS	thetahX	thetaSX	vs	vx
79	125.09	155.57557557557558	640.0	-0.129	0.226	-0.899	140.0	100.0
80	125.09	155.94994994994994	640.0	-0.129	0.226	-0.899	140.0	100.0
81	125.09	156.32432432432432	640.0	-0.129	0.226	-0.899	140.0	100.0
82	125.09	156.6986986986987	640.0	-0.129	0.226	-0.899	140.0	100.0
83	125.09	157.07307307307306	640.0	-0.129	0.226	-0.899	140.0	100.0
84	125.09	157.44744744744744	640.0	-0.129	0.226	-0.899	140.0	100.0
85	125.09	157.82182182182183	640.0	-0.129	0.226	-0.899	140.0	100.0
86	125.09	158.19619619619618	640.0	-0.129	0.226	-0.899	140.0	100.0
87	125.09	158.57057057057057	640.0	-0.129	0.226	-0.899	140.0	100.0
88	125.09	158.94494494494495	640.0	-0.129	0.226	-0.899	140.0	100.0
89	125.09	159.31931931931933	640.0	-0.129	0.226	-0.899	140.0	100.0
90	125.09	159.6936936936937	640.0	-0.129	0.226	-0.899	140.0	100.0
91	125.09	160.06806806806807	640.0	-0.129	0.226	-0.899	140.0	100.0
92	125.09	160.44244244244243	640.0	-0.129	0.226	-0.899	140.0	100.0
93	125.09	160.8168168168168	640.0	-0.129	0.226	-0.899	140.0	100.0
94	125.09	161.1911911911912	640.0	-0.129	0.226	-0.899	140.0	100.0
95	125.09	161.56556556556558	640.0	-0.129	0.226	-0.899	140.0	100.0
96	125.09	161.93993993993993	640.0	-0.129	0.226	-0.899	140.0	100.0
97	125.09	162.31431431431432	640.0	-0.129	0.226	-0.899	140.0	100.0
98	125.09	162.68868868868867	640.0	-0.129	0.226	-0.899	140.0	100.0
99	125.09	163.06306306306305	640.0	-0.129	0.226	-0.899	140.0	100.0
100	125.09	163.43743743743744	640.0	-0.129	0.226	-0.899	140.0	100.0
101	125.09	163.81181181181182	640.0	-0.129	0.226	-0.899	140.0	100.0
102	125.09	164.18618618618618	640.0	-0.129	0.226	-0.899	140.0	100.0
103	125.09	164.56056056056056	640.0	-0.129	0.226	-0.899	140.0	100.0
104	125.09	164.93493493493494	640.0	-0.129	0.226	-0.899	140.0	100.0
105	125.09	165.3093093093093	640.0	-0.129	0.226	-0.899	140.0	100.0
106	125.09	165.68368368368368	640.0	-0.129	0.226	-0.899	140.0	100.0
107	125.09	166.05805805805807	640.0	-0.129	0.226	-0.899	140.0	100.0
108	125.09	166.43243243243245	640.0	-0.129	0.226	-0.899	140.0	100.0
109	125.09	166.8068068068068	640.0	-0.129	0.226	-0.899	140.0	100.0
110	125.09	167.1811811811812	640.0	-0.129	0.226	-0.899	140.0	100.0
111	125.09	167.55555555555554	640.0	-0.129	0.226	-0.899	140.0	100.0
112	125.09	167.92992992992993	640.0	-0.129	0.226	-0.899	140.0	100.0
113	125.09	168.3043043043043	640.0	-0.129	0.226	-0.899	140.0	100.0
114	125.09	168.6786786786787	640.0	-0.129	0.226	-0.899	140.0	100.0
115	125.09	169.05305305305305	640.0	-0.129	0.226	-0.899	140.0	100.0
116	125.09	169.42742742742743	640.0	-0.129	0.226	-0.899	140.0	100.0
