	mH1	mH2	mH3	R11	R12	R13	R21	R22	R23	R31	R32	R33	thetahS	thetahX	thetaSX	v	vs	vx	LH	LS	LX	LHS	LHX	LSX	muHsq	muSsq	muXsq	S	STU_chisq	T	U	b_H1_WW	b_H1_ZZ	b_H1_Zgam	b_H1_bb	b_H1_cc	b_H1_gamgam	b_H1_gg	b_H1_mumu	b_H1_ss	b_H1_tautau	b_H1_tt	b_H2_H1H1	b_H2_WW	b_H2_ZZ	b_H2_Zgam	b_H2_bb	b_H2_cc	b_H2_gamgam	b_H2_gg	b_H2_mumu	b_H2_ss	b_H2_tautau	b_H2_tt	b_H3_H1H1	b_H3_H1H2	b_H3_H2H2	b_H3_WW	b_H3_ZZ	b_H3_Zgam	b_H3_bb	b_H3_cc	b_H3_gamgam	b_H3_gg	b_H3_mumu	b_H3_ss	b_H3_tautau	b_H3_tt	c_H1H1H1	c_H1H1H2	c_H1H1H3	c_H1H2H2	c_H1H2H3	c_H1H3H3	c_H2H2H2	c_H2H2H3	c_H2H3H3	c_H3H3H3	hb_H1_channel	hb_H1_ncombined	hb_H1_obsratio	hb_H1_result	hb_H2_channel	hb_H2_ncombined	hb_H2_obsratio	hb_H2_result	hb_H3_channel	hb_H3_ncombined	hb_H3_obsratio	hb_H3_result	hb_channel	hb_result	hs_chisqMass	hs_chisqMu	hs_deltaChisq	maxEV	mu_H1_WW	mu_H1_ZZ	mu_H1_bb	mu_H1_bb_VH	mu_H1_gamgam	mu_H1_tautau	mu_H2_WW	mu_H2_ZZ	mu_H2_bb	mu_H2_bb_VH	mu_H2_gamgam	mu_H2_tautau	mu_H3_WW	mu_H3_ZZ	mu_H3_bb	mu_H3_bb_VH	mu_H3_gamgam	mu_H3_tautau	w_H1	w_H2	w_H3	x_H1W	x_H1Z	x_H1_bb	x_H1_gg	x_H1_vbf	x_H1tt	x_H2W	x_H2Z	x_H2_bb	x_H2_gg	x_H2_vbf	x_H2tt	x_H3W	x_H3Z	x_H3_bb	x_H3_gg	x_H3_vbf	x_H3tt
13	100	125.09	550	0	2.2204460492503131e-16	1	-1	2.2204460492503131e-16	0	-2.2204460492503131e-16	-1	2.2204460492503131e-16	-1.5707963267948966	-1.5707963267948966	-0	246.21965079413738	500.5	500.5	0.12905349405143485	0.60379181258302139	0.01996005992009988	5.1685897216286231e-16	-1.2102609957646948e-31	-2.5927338172545401e-16	-7823.7540500000641	-151250	-4999.9999999999673	6.3087363973053968e-05	2.8409528930905075	-5.1466937775704148e-05	-2.6102036147575251e-06	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	0	0.20954037949779894	0.026436167649781482	0.0015471908249778306	0.58943392991338928	0.028824475631364539	0.0023091776568478972	0.078098650877957129	0.0002244325586310561	0.0002463398800228695	0.063339255509228864	0	0.056747884470341778	5.6686481276166684e-33	0.24014423643078692	0.38403492148892582	0.1849838541237866	3.9950885605441358e-06	6.5482877638496322e-05	3.2002910124077143e-06	6.4357500579188105e-08	0.00036856098692343797	3.270627078614478e-08	2.7360729754430791e-08	9.2140246730859487e-06	0.1336385257928496	59.940059940059946	9.8509104048577645e-31	1.4307569448216301e-13	-3.1333068269547761e-30	-3.2325517018704469e-29	2.7284202203575277e-13	-190.65303743464546	-3.0102139394244572e-13	2.7534751395358566e-13	-1813.1868131868132	0	0	0	1	377	1	0.79282386449627762	1	261	1	1.0102312963331427e-30	1	377	1	2.1060000000001607e-25	85.529715093106219	-0.23794678539377401	1.8113754377490636	0	0	0	0	0	0	0.99987774494812554	0.99987774494812554	0.99987774494812531	0.99987774494812509	0.9998777449481252	0.99987774494812531	3.4675037318964887e-32	3.4675037318964898e-32	3.4675037318964892e-32	3.346465191738053e-32	3.4675037318964892e-32	3.4675037318964903e-32	0	0.0040852594436052011	6.0774511011185074e-30	0	0	0	0	0	0	1.4719039999999999	0.91041354164547528	0.48686499999999994	41.928879999999992	3.9222639999999998	0.47488019723004254	2.8329967258749588e-34	1.781995114233762e-34	8.1400584657493151e-35	1.4830585018155022e-31	1.9598263114084513e-32	3.9632182378970657e-34
14	100	125.09	550	0	2.2204460492503131e-16	1	-1	2.2204460492503131e-16	0	-2.2204460492503131e-16	-1	2.2204460492503131e-16	-1.5707963267948966	-1.5707963267948966	-0	246.21965079413738	500.5	1000	0.12905349405143485	0.60379181258302139	0.0050000000000000001	5.1685897216286231e-16	-6.0573562838022975e-32	-1.2976632755358972e-16	-7823.7540500000641	-151249.99999999997	-4999.9999999999836	6.3087363973053968e-05	2.8409528930905075	-5.1466937775704148e-05	-2.6102036147575251e-06	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	0	0.20954037949779894	0.026436167649781482	0.0015471908249778306	0.58943392991338928	0.028824475631364539	0.0023091776568478972	0.078098650877957129	0.0002244325586310561	0.0002463398800228695	0.063339255509228864	0	0.01484683252568004	5.9204602526474176e-33	0.25081189988919039	0.40109448269100784	0.19320118854896531	4.1725579884339267e-06	6.8391751535774411e-05	3.3424540224250645e-06	6.7216383088328223e-08	0.00038493316653862291	3.4159145503904511e-08	2.857614537853517e-08	9.6233291634655724e-06	0.13957500313423346	30	4.930380657631336e-31	7.1609385088322572e-14	-3.1333068269547761e-30	-3.2325517018704463e-29	2.7284202203575282e-13	-190.65303743464546	-3.0102139394244572e-13	2.7534751395358566e-13	-1813.1868131868132	0	0	0	1	377	1	0.79282386449627762	1	261	1	1.0551076908059066e-30	1	377	1	2.1060000000001607e-25	85.529715093106219	-0.23794678539377401	1.8113754377490641	0	0	0	0	0	0	0.99987774494812554	0.99987774494812554	0.99987774494812531	0.99987774494812509	0.9998777449481252	0.99987774494812531	3.6215368388425766e-32	3.6215368388425766e-32	3.6215368388425772e-32	3.4951215366552146e-32	3.6215368388425772e-32	3.6215368388425777e-32	0	0.0040852594436052011	5.8189617588652926e-30	0	0	0	0	0	0	1.4719039999999999	0.91041354164547528	0.48686499999999994	41.928879999999992	3.9222639999999998	0.47488019723004254	2.8329967258749588e-34	1.781995114233762e-34	8.1400584657493151e-35	1.4830585018155022e-31	1.9598263114084513e-32	3.9632182378970657e-34
16	100	125.09	550	0	2.2204460492503131e-16	1	-1	2.2204460492503131e-16	0	-2.2204460492503131e-16	-1	2.2204460492503131e-16	-1.5707963267948966	-1.5707963267948966	-0	246.21965079413738	1000	500.5	0.12905349405143485	0.15125	0.01996005992009988	2.586879155675126e-16	-1.2102609957646948e-31	-1.2976632755358972e-16	-7823.7540500001287	-151249.99999999997	-4999.9999999999354	6.3087363973053968e-05	2.8409528930905075	-5.1466937775704148e-05	-2.6102036147575251e-06	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	0	0.20954037949779894	0.026436167649781482	0.0015471908249778306	0.58943392991338928	0.028824475631364539	0.0023091776568478972	0.078098650877957129	0.0002244325586310561	0.0002463398800228695	0.063339255509228864	0	0.056747884470341785	1.4199977731300061e-33	0.24014423643078689	0.38403492148892587	0.18498385412378662	3.9950885605441358e-06	6.5482877638496322e-05	3.2002910124077147e-06	6.4357500579188119e-08	0.00036856098692343797	3.270627078614478e-08	2.7360729754430795e-08	9.2140246730859504e-06	0.13363852579284963	59.940059940059946	9.8509104048577715e-31	1.4307569448216301e-13	-3.1333068269547831e-30	-1.6178921267861581e-29	1.365574320288943e-13	-190.65303743464546	-3.0102139394244567e-13	1.3781143073376954e-13	-907.5	0	0	0	1	377	1	0.79282386449627762	1	261	1	1.0102312963331427e-30	1	377	1	2.1060000000001607e-25	85.529715093106219	-0.23794678539377401	0.77432096430860975	0	0	0	0	0	0	0.99987774494812554	0.99987774494812554	0.99987774494812531	0.99987774494812509	0.9998777449481252	0.99987774494812531	3.4675037318964887e-32	3.4675037318964898e-32	3.4675037318964892e-32	3.346465191738053e-32	3.4675037318964892e-32	3.4675037318964903e-32	0	0.0040852594436052011	6.0774511011185067e-30	0	0	0	0	0	0	1.4719039999999999	0.91041354164547528	0.48686499999999994	41.928879999999992	3.9222639999999998	0.47488019723004254	2.8329967258749588e-34	1.781995114233762e-34	8.1400584657493151e-35	1.4830585018155022e-31	1.9598263114084513e-32	3.9632182378970657e-34
17	100	125.09	550	0	2.2204460492503131e-16	1	-1	2.2204460492503131e-16	0	-2.2204460492503131e-16	-1	2.2204460492503131e-16	-1.5707963267948966	-1.5707963267948966	-0	246.21965079413738	1000	1000	0.12905349405143485	0.15125	0.0050000000000000001	2.586879155675126e-16	-6.0573562838022975e-32	-6.4948046940571654e-17	-7823.7540500001287	-151249.99999999997	-4999.9999999999673	6.3087363973053968e-05	2.8409528930905075	-5.1466937775704148e-05	-2.6102036147575251e-06	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	0	0.20954037949779894	0.026436167649781482	0.0015471908249778306	0.58943392991338928	0.028824475631364539	0.0023091776568478972	0.078098650877957129	0.0002244325586310561	0.0002463398800228695	0.063339255509228864	0	0.014846832525680042	1.4830767734032407e-33	0.25081189988919039	0.40109448269100789	0.19320118854896534	4.1725579884339275e-06	6.8391751535774411e-05	3.3424540224250649e-06	6.7216383088328236e-08	0.00038493316653862296	3.4159145503904518e-08	2.8576145378535173e-08	9.623329163465574e-06	0.13957500313423349	30	4.9303806576313439e-31	7.1609385088322572e-14	-3.1333068269547831e-30	-1.6178921267861581e-29	1.3655743202889428e-13	-190.65303743464546	-3.0102139394244567e-13	1.3781143073376954e-13	-907.5	0	0	0	1	377	1	0.79282386449627762	1	261	1	1.0551076908059066e-30	1	377	1	2.1060000000001607e-25	85.529715093106219	-0.23794678539377401	0.77432096430860919	0	0	0	0	0	0	0.99987774494812554	0.99987774494812554	0.99987774494812531	0.99987774494812509	0.9998777449481252	0.99987774494812531	3.6215368388425766e-32	3.6215368388425766e-32	3.6215368388425772e-32	3.4951215366552146e-32	3.6215368388425772e-32	3.6215368388425777e-32	0	0.0040852594436052011	5.8189617588652919e-30	0	0	0	0	0	0	1.4719039999999999	0.91041354164547528	0.48686499999999994	41.928879999999992	3.9222639999999998	0.47488019723004254	2.8329967258749588e-34	1.781995114233762e-34	8.1400584657493151e-35	1.4830585018155022e-31	1.9598263114084513e-32	3.9632182378970657e-34
67	100	125.09	550	0	2.2204460492503131e-16	-1	-1	2.2204460492503131e-16	0	2.2204460492503131e-16	1	2.2204460492503131e-16	-1.5707963267948966	1.5707963267948966	-0	246.21965079413738	500.5	500.5	0.12905349405143485	0.60379181258302139	0.01996005992009988	5.1685897216286231e-16	1.2102609957646948e-31	2.5927338172545401e-16	-7823.7540500000641	-151250.00000000006	-5000.0000000000327	6.3087363973053968e-05	2.8409528930905075	-5.1466937775704148e-05	-2.6102036147575251e-06	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	0	0.20954037949779894	0.026436167649781482	0.0015471908249778306	0.58943392991338928	0.028824475631364539	0.0023091776568478972	0.078098650877957129	0.0002244325586310561	0.0002463398800228695	0.063339255509228864	0	0.056747884470341861	5.6686481276166588e-33	0.24014423643078689	0.38403492148892576	0.18498385412378657	3.9950885605441349e-06	6.5482877638496309e-05	3.2002910124077139e-06	6.4357500579188105e-08	0.00036856098692343792	3.2706270786144773e-08	2.7360729754430788e-08	9.214024673085947e-06	0.1336385257928496	-59.940059940059946	-9.8509104048576839e-31	1.4307569448216311e-13	-3.1333068269547761e-30	3.2325517018704446e-29	2.7284202203575267e-13	-190.65303743464546	3.0102139394244572e-13	2.7534751395358566e-13	1813.1868131868132	0	0	0	1	377	1	0.79282386449627762	1	261	1	1.0102312963331422e-30	1	377	1	2.1060000000001607e-25	85.529715093106219	-0.23794678539377401	1.8113754377490636	0	0	0	0	0	0	0.99987774494812554	0.99987774494812554	0.99987774494812531	0.99987774494812509	0.9998777449481252	0.99987774494812531	3.4675037318964881e-32	3.4675037318964876e-32	3.4675037318964881e-32	3.3464651917380524e-32	3.4675037318964887e-32	3.4675037318964892e-32	0	0.0040852594436052011	6.0774511011185081e-30	0	0	0	0	0	0	1.4719039999999999	0.91041354164547528	0.48686499999999994	41.928879999999992	3.9222639999999998	0.47488019723004254	2.8329967258749588e-34	1.781995114233762e-34	8.1400584657493151e-35	1.4830585018155022e-31	1.9598263114084513e-32	3.9632182378970657e-34
68	100	125.09	550	0	2.2204460492503131e-16	-1	-1	2.2204460492503131e-16	0	2.2204460492503131e-16	1	2.2204460492503131e-16	-1.5707963267948966	1.5707963267948966	-0	246.21965079413738	500.5	1000	0.12905349405143485	0.60379181258302139	0.0050000000000000001	5.1685897216286231e-16	6.0573562838022975e-32	1.2976632755358972e-16	-7823.7540500000641	-151250.00000000009	-5000.0000000000164	6.3087363973053968e-05	2.8409528930905075	-5.1466937775704148e-05	-2.6102036147575251e-06	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	0	0.20954037949779894	0.026436167649781482	0.0015471908249778306	0.58943392991338928	0.028824475631364539	0.0023091776568478972	0.078098650877957129	0.0002244325586310561	0.0002463398800228695	0.063339255509228864	0	0.014846832525680059	5.9204602526474176e-33	0.25081189988919039	0.40109448269100784	0.19320118854896531	4.1725579884339267e-06	6.8391751535774411e-05	3.3424540224250645e-06	6.7216383088328223e-08	0.00038493316653862291	3.4159145503904511e-08	2.857614537853517e-08	9.6233291634655724e-06	0.13957500313423346	-30	-4.9303806576313115e-31	7.1609385088322622e-14	-3.1333068269547761e-30	3.2325517018704463e-29	2.7284202203575272e-13	-190.65303743464546	3.0102139394244572e-13	2.7534751395358566e-13	1813.1868131868132	0	0	0	1	377	1	0.79282386449627762	1	261	1	1.0551076908059066e-30	1	377	1	2.1060000000001607e-25	85.529715093106219	-0.23794678539377401	1.8113754377490641	0	0	0	0	0	0	0.99987774494812554	0.99987774494812554	0.99987774494812531	0.99987774494812509	0.9998777449481252	0.99987774494812531	3.6215368388425766e-32	3.6215368388425766e-32	3.6215368388425772e-32	3.4951215366552146e-32	3.6215368388425772e-32	3.6215368388425777e-32	0	0.0040852594436052011	5.8189617588652926e-30	0	0	0	0	0	0	1.4719039999999999	0.91041354164547528	0.48686499999999994	41.928879999999992	3.9222639999999998	0.47488019723004254	2.8329967258749588e-34	1.781995114233762e-34	8.1400584657493151e-35	1.4830585018155022e-31	1.9598263114084513e-32	3.9632182378970657e-34
70	100	125.09	550	0	2.2204460492503131e-16	-1	-1	2.2204460492503131e-16	0	2.2204460492503131e-16	1	2.2204460492503131e-16	-1.5707963267948966	1.5707963267948966	-0	246.21965079413738	1000	500.5	0.12905349405143485	0.15125	0.01996005992009988	2.586879155675126e-16	1.2102609957646948e-31	1.2976632755358972e-16	-7823.7540500001287	-151250.00000000003	-5000.0000000000646	6.3087363973053968e-05	2.8409528930905075	-5.1466937775704148e-05	-2.6102036147575251e-06	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	0	0.20954037949779894	0.026436167649781482	0.0015471908249778306	0.58943392991338928	0.028824475631364539	0.0023091776568478972	0.078098650877957129	0.0002244325586310561	0.0002463398800228695	0.063339255509228864	0	0.056747884470341813	1.419997773130006e-33	0.24014423643078686	0.38403492148892582	0.1849838541237866	3.9950885605441358e-06	6.5482877638496322e-05	3.2002910124077143e-06	6.4357500579188105e-08	0.00036856098692343797	3.270627078614478e-08	2.7360729754430791e-08	9.2140246730859487e-06	0.1336385257928496	-59.940059940059946	-9.850910404857789e-31	1.4307569448216306e-13	-3.1333068269547831e-30	1.6178921267861581e-29	1.365574320288942e-13	-190.65303743464546	3.0102139394244567e-13	1.3781143073376954e-13	907.5	0	0	0	1	377	1	0.79282386449627762	1	261	1	1.0102312963331427e-30	1	377	1	2.1060000000001607e-25	85.529715093106219	-0.23794678539377401	0.77432096430860975	0	0	0	0	0	0	0.99987774494812554	0.99987774494812554	0.99987774494812531	0.99987774494812509	0.9998777449481252	0.99987774494812531	3.4675037318964887e-32	3.4675037318964898e-32	3.4675037318964892e-32	3.346465191738053e-32	3.4675037318964892e-32	3.4675037318964903e-32	0	0.0040852594436052011	6.0774511011185074e-30	0	0	0	0	0	0	1.4719039999999999	0.91041354164547528	0.48686499999999994	41.928879999999992	3.9222639999999998	0.47488019723004254	2.8329967258749588e-34	1.781995114233762e-34	8.1400584657493151e-35	1.4830585018155022e-31	1.9598263114084513e-32	3.9632182378970657e-34
71	100	125.09	550	0	2.2204460492503131e-16	-1	-1	2.2204460492503131e-16	0	2.2204460492503131e-16	1	2.2204460492503131e-16	-1.5707963267948966	1.5707963267948966	-0	246.21965079413738	1000	1000	0.12905349405143485	0.15125	0.0050000000000000001	2.586879155675126e-16	6.0573562838022975e-32	6.4948046940571654e-17	-7823.7540500001287	-151250.00000000003	-5000.0000000000327	6.3087363973053968e-05	2.8409528930905075	-5.1466937775704148e-05	-2.6102036147575251e-06	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	0	0.20954037949779894	0.026436167649781482	0.0015471908249778306	0.58943392991338928	0.028824475631364539	0.0023091776568478972	0.078098650877957129	0.0002244325586310561	0.0002463398800228695	0.063339255509228864	0	0.014846832525680061	1.4830767734032407e-33	0.25081189988919039	0.40109448269100789	0.19320118854896534	4.1725579884339275e-06	6.8391751535774411e-05	3.3424540224250649e-06	6.7216383088328236e-08	0.00038493316653862296	3.4159145503904518e-08	2.8576145378535173e-08	9.623329163465574e-06	0.13957500313423349	-30	-4.9303806576313036e-31	7.1609385088322622e-14	-3.1333068269547831e-30	1.6178921267861581e-29	1.3655743202889423e-13	-190.65303743464546	3.0102139394244567e-13	1.3781143073376954e-13	907.5	0	0	0	1	377	1	0.79282386449627762	1	261	1	1.0551076908059066e-30	1	377	1	2.1060000000001607e-25	85.529715093106219	-0.23794678539377401	0.77432096430860919	0	0	0	0	0	0	0.99987774494812554	0.99987774494812554	0.99987774494812531	0.99987774494812509	0.9998777449481252	0.99987774494812531	3.6215368388425766e-32	3.6215368388425766e-32	3.6215368388425772e-32	3.4951215366552146e-32	3.6215368388425772e-32	3.6215368388425777e-32	0	0.0040852594436052011	5.8189617588652919e-30	0	0	0	0	0	0	1.4719039999999999	0.91041354164547528	0.48686499999999994	41.928879999999992	3.9222639999999998	0.47488019723004254	2.8329967258749588e-34	1.781995114233762e-34	8.1400584657493151e-35	1.4830585018155022e-31	1.9598263114084513e-32	3.9632182378970657e-34
85	100	125.09	550	2.2204460492503131e-16	0	1	-1	2.2204460492503131e-16	2.2204460492503131e-16	-2.2204460492503131e-16	-1	0	-0	-1.5707963267948966	-1.5707963267948966	246.21965079413738	500.5	500.5	0.12905349405143485	0.60379181258302139	0.01996005992009988	5.1685897216286231e-16	-1.0175840594980866e-17	3.0797642428049261e-33	-7823.7540500000632	-151250.00000000003	-5000	6.3087363973053968e-05	2.8409528930905075	-5.1466937775704148e-05	-2.6102036147575251e-06	0.010603459908968292	0.001100359047157087	4.8715895996863757e-05	0.79826047239214126	0.039112762494401911	0.0016005222504103084	0.066521706032678443	0.00029109498429337482	0.00033410901977315183	0.082126797974178947	0	0	0.20954037949779894	0.026436167649781482	0.0015471908249778306	0.58943392991338928	0.028824475631364539	0.0023091776568478972	0.078098650877957129	0.0002244325586310561	0.0002463398800228695	0.063339255509228864	0	2.8519565258002973e-36	2.483215745491323e-32	0.25459178143050365	0.40713921036188844	0.19611284308640412	4.235440869698765e-06	6.942245510016815e-05	3.3928267530157361e-06	6.8229373165041734e-08	0.00039073433375390023	3.4673943739611377e-08	2.9006804547760911e-08	9.7683583438475053e-06	0.1416784797962615	59.940059940059946	1.5814858846406295e-14	-9.8509104048579309e-31	3.724047015714513e-14	6.5709301494333897e-29	2.9799003974694839e-29	-190.65303743464546	-3.0102139394244572e-13	2.7534751395358566e-13	-1813.1868131868132	1	1	1.8220962929786375e-31	1	377	1	0.79282386449627762	1	261	1	1.0710087787779558e-30	1	377	1	2.1060000000001607e-25	85.529715093106219	-0.23794678539377401	1.8113754377490636	4.926190342220969e-32	4.926190342220969e-32	4.9261903422209679e-32	4.8402795611946836e-32	4.926190342220969e-32	4.926190342220969e-32	0.99987774494812554	0.99987774494812554	0.99987774494812531	0.99987774494812509	0.9998777449481252	0.99987774494812531	3.6761155101670818e-32	3.6761155101670824e-32	3.6761155101670824e-32	3.5477950556823656e-32	3.6761155101670824e-32	3.6761155101670829e-32	1.2420505123545307e-34	0.0040852594436052011	5.7325686081580832e-30	1.4426293804229254e-31	8.437282005690349e-32	4.7671850578637269e-32	3.0740923400331304e-30	2.3774295531098244e-31	3.9833455617034053e-32	1.4719039999999999	0.91041354164547528	0.48686499999999994	41.928879999999992	3.9222639999999998	0.47488019723004254	2.8329967258749588e-34	1.781995114233762e-34	8.1400584657493151e-35	1.4830585018155022e-31	1.9598263114084513e-32	3.9632182378970657e-34
86	100	125.09	550	2.2204460492503131e-16	0	1	-1	2.2204460492503131e-16	2.2204460492503131e-16	-2.2204460492503131e-16	-1	0	-0	-1.5707963267948966	-1.5707963267948966	246.21965079413738	500.5	1000	0.12905349405143485	0.60379181258302139	0.0050000000000000001	5.1685897216286231e-16	-5.0930082177879227e-18	1.5414220035238657e-33	-7823.7540500000614	-151250.00000000003	-5000	6.3087363973053968e-05	2.8409528930905075	-5.1466937775704148e-05	-2.6102036147575251e-06	0.010603459908968292	0.001100359047157087	4.8715895996863757e-05	0.79826047239214126	0.039112762494401911	0.0016005222504103084	0.066521706032678443	0.00029109498429337482	0.00033410901977315183	0.082126797974178947	0	0	0.20954037949779894	0.026436167649781482	0.0015471908249778306	0.58943392991338928	0.028824475631364539	0.0023091776568478972	0.078098650877957129	0.0002244325586310561	0.0002463398800228695	0.063339255509228864	0	7.144158227021277e-37	2.483215745491323e-32	0.25459178143050365	0.40713921036188844	0.19611284308640412	4.235440869698765e-06	6.942245510016815e-05	3.3928267530157361e-06	6.8229373165041734e-08	0.00039073433375390023	3.4673943739611377e-08	2.9006804547760911e-08	9.7683583438475053e-06	0.1416784797962615	30	7.9153368526263463e-15	-4.9303806576314692e-31	3.724047015714513e-14	6.5709301494333897e-29	2.9799003974694839e-29	-190.65303743464546	-3.0102139394244572e-13	2.7534751395358566e-13	-1813.1868131868132	1	1	1.8220962929786375e-31	1	377	1	0.79282386449627762	1	261	1	1.0710087787779558e-30	1	377	1	2.1060000000001607e-25	85.529715093106219	-0.23794678539377401	1.8113754377490641	4.926190342220969e-32	4.926190342220969e-32	4.9261903422209679e-32	4.8402795611946836e-32	4.926190342220969e-32	4.926190342220969e-32	0.99987774494812554	0.99987774494812554	0.99987774494812531	0.99987774494812509	0.9998777449481252	0.99987774494812531	3.6761155101670818e-32	3.6761155101670824e-32	3.6761155101670824e-32	3.5477950556823656e-32	3.6761155101670824e-32	3.6761155101670829e-32	1.2420505123545307e-34	0.0040852594436052011	5.7325686081580832e-30	1.4426293804229254e-31	8.437282005690349e-32	4.7671850578637269e-32	3.0740923400331304e-30	2.3774295531098244e-31	3.9833455617034053e-32	1.4719039999999999	0.91041354164547528	0.48686499999999994	41.928879999999992	3.9222639999999998	0.47488019723004254	2.8329967258749588e-34	1.781995114233762e-34	8.1400584657493151e-35	1.4830585018155022e-31	1.9598263114084513e-32	3.9632182378970657e-34
