	mH3	mH1	mH2	thetahS	thetahX	thetaSX	vs	vx
213	143.65656565656565	17.151515151515152	125.09	1.352	1.175	-0.407	120.0	890.0
214	143.65656565656565	18.393939393939394	125.09	1.352	1.175	-0.407	120.0	890.0
215	143.65656565656565	19.636363636363637	125.09	1.352	1.175	-0.407	120.0	890.0
216	143.65656565656565	20.87878787878788	125.09	1.352	1.175	-0.407	120.0	890.0
217	143.65656565656565	22.12121212121212	125.09	1.352	1.175	-0.407	120.0	890.0
218	143.65656565656565	23.363636363636363	125.09	1.352	1.175	-0.407	120.0	890.0
219	143.65656565656565	24.606060606060606	125.09	1.352	1.175	-0.407	120.0	890.0
220	143.65656565656565	25.848484848484848	125.09	1.352	1.175	-0.407	120.0	890.0
221	143.65656565656565	27.09090909090909	125.09	1.352	1.175	-0.407	120.0	890.0
222	143.65656565656565	28.333333333333332	125.09	1.352	1.175	-0.407	120.0	890.0
223	143.65656565656565	29.575757575757574	125.09	1.352	1.175	-0.407	120.0	890.0
224	143.65656565656565	30.81818181818182	125.09	1.352	1.175	-0.407	120.0	890.0
225	143.65656565656565	32.06060606060606	125.09	1.352	1.175	-0.407	120.0	890.0
226	143.65656565656565	33.303030303030305	125.09	1.352	1.175	-0.407	120.0	890.0
227	143.65656565656565	34.54545454545455	125.09	1.352	1.175	-0.407	120.0	890.0
228	143.65656565656565	35.78787878787879	125.09	1.352	1.175	-0.407	120.0	890.0
229	143.65656565656565	37.03030303030303	125.09	1.352	1.175	-0.407	120.0	890.0
230	143.65656565656565	38.27272727272727	125.09	1.352	1.175	-0.407	120.0	890.0
231	143.65656565656565	39.515151515151516	125.09	1.352	1.175	-0.407	120.0	890.0
232	143.65656565656565	40.75757575757576	125.09	1.352	1.175	-0.407	120.0	890.0
233	143.65656565656565	42.0	125.09	1.352	1.175	-0.407	120.0	890.0
234	143.65656565656565	43.24242424242424	125.09	1.352	1.175	-0.407	120.0	890.0
235	143.65656565656565	44.484848484848484	125.09	1.352	1.175	-0.407	120.0	890.0
236	143.65656565656565	45.72727272727273	125.09	1.352	1.175	-0.407	120.0	890.0
237	143.65656565656565	46.96969696969697	125.09	1.352	1.175	-0.407	120.0	890.0
238	143.65656565656565	48.21212121212121	125.09	1.352	1.175	-0.407	120.0	890.0
239	143.65656565656565	49.45454545454545	125.09	1.352	1.175	-0.407	120.0	890.0
240	143.65656565656565	50.696969696969695	125.09	1.352	1.175	-0.407	120.0	890.0
241	143.65656565656565	51.93939393939394	125.09	1.352	1.175	-0.407	120.0	890.0
242	143.65656565656565	53.18181818181818	125.09	1.352	1.175	-0.407	120.0	890.0
243	143.65656565656565	54.42424242424242	125.09	1.352	1.175	-0.407	120.0	890.0
244	143.65656565656565	55.666666666666664	125.09	1.352	1.175	-0.407	120.0	890.0
245	143.65656565656565	56.90909090909091	125.09	1.352	1.175	-0.407	120.0	890.0
246	143.65656565656565	58.15151515151515	125.09	1.352	1.175	-0.407	120.0	890.0
247	143.65656565656565	59.39393939393939	125.09	1.352	1.175	-0.407	120.0	890.0
248	143.65656565656565	60.63636363636364	125.09	1.352	1.175	-0.407	120.0	890.0
249	143.65656565656565	61.87878787878788	125.09	1.352	1.175	-0.407	120.0	890.0
250	143.65656565656565	63.121212121212125	125.09	1.352	1.175	-0.407	120.0	890.0
251	143.65656565656565	64.36363636363637	125.09	1.352	1.175	-0.407	120.0	890.0
252	143.65656565656565	65.60606060606061	125.09	1.352	1.175	-0.407	120.0	890.0
253	143.65656565656565	66.84848484848484	125.09	1.352	1.175	-0.407	120.0	890.0
254	143.65656565656565	68.0909090909091	125.09	1.352	1.175	-0.407	120.0	890.0
255	143.65656565656565	69.33333333333333	125.09	1.352	1.175	-0.407	120.0	890.0
256	143.65656565656565	70.57575757575758	125.09	1.352	1.175	-0.407	120.0	890.0
257	143.65656565656565	71.81818181818181	125.09	1.352	1.175	-0.407	120.0	890.0
258	143.65656565656565	73.06060606060606	125.09	1.352	1.175	-0.407	120.0	890.0
259	143.65656565656565	74.3030303030303	125.09	1.352	1.175	-0.407	120.0	890.0
260	143.65656565656565	75.54545454545455	125.09	1.352	1.175	-0.407	120.0	890.0
261	143.65656565656565	76.78787878787878	125.09	1.352	1.175	-0.407	120.0	890.0
262	143.65656565656565	78.03030303030303	125.09	1.352	1.175	-0.407	120.0	890.0
263	143.65656565656565	79.27272727272727	125.09	1.352	1.175	-0.407	120.0	890.0
264	143.65656565656565	80.51515151515152	125.09	1.352	1.175	-0.407	120.0	890.0
265	143.65656565656565	81.75757575757576	125.09	1.352	1.175	-0.407	120.0	890.0
266	143.65656565656565	83.0	125.09	1.352	1.175	-0.407	120.0	890.0
267	143.65656565656565	84.24242424242425	125.09	1.352	1.175	-0.407	120.0	890.0
268	143.65656565656565	85.48484848484848	125.09	1.352	1.175	-0.407	120.0	890.0
269	143.65656565656565	86.72727272727273	125.09	1.352	1.175	-0.407	120.0	890.0
