	mH1	mH2	mH3	b_H3_H1H2	b_H3_H1H1	b_H3_H2H2	x_H3_H1H2	x_H3_H1H1	x_H3_H2H2	x_H3_H1H2_SM1SM2	x_H3_H1_SM1_H2_SM2	x_H3_H1_SM2_H2_SM1	x_H3_H1H1_SM1SM2	x_H3_H2H2_SM1SM2
0	125.09	126.0	255.0	0.000634693563859	0.080373680547876	0.6988963594668076	0.00046495087440093274	0.058878512683103325	0.5119832497969216	1.2479801779754518e-06	6.313503010608583e-07	6.166298769145935e-07	8.013999468973553e-05	0.0006773982835311818
1	125.09	131.59183673469389	255.0	0.0	0.2674941332825293	0.0	0.0	0.19595539997387046	0.0	0.0	0.0	0.0	0.00026671639614696995	0.0
2	125.09	137.18367346938777	255.0	0.0	0.2674941332825293	0.0	0.0	0.19595539997387046	0.0	0.0	0.0	0.0	0.00026671639614696995	0.0
3	125.09	142.77551020408163	255.0	0.0	0.2674941332825293	0.0	0.0	0.19595539997387046	0.0	0.0	0.0	0.0	0.00026671639614696995	0.0
4	125.09	148.3673469387755	255.0	0.0	0.2674941332825292	0.0	0.0	0.19595539997387038	0.0	0.0	0.0	0.0	0.00026671639614696984	0.0
5	125.09	153.9591836734694	255.0	0.0	0.2674941332825294	0.0	0.0	0.19595539997387054	0.0	0.0	0.0	0.0	0.00026671639614697006	0.0
6	125.09	159.55102040816325	255.0	0.0	0.2674941332825293	0.0	0.0	0.19595539997387046	0.0	0.0	0.0	0.0	0.00026671639614696995	0.0
7	125.09	165.14285714285714	255.0	0.0	0.2674941332825294	0.0	0.0	0.19595539997387054	0.0	0.0	0.0	0.0	0.00026671639614697006	0.0
8	125.09	170.73469387755102	255.0	0.0	0.2674941332825293	0.0	0.0	0.19595539997387046	0.0	0.0	0.0	0.0	0.00026671639614696995	0.0
9	125.09	176.3265306122449	255.0	0.0	0.2674941332825292	0.0	0.0	0.19595539997387038	0.0	0.0	0.0	0.0	0.00026671639614696984	0.0
10	125.09	181.9183673469388	255.0	0.0	0.2674941332825293	0.0	0.0	0.19595539997387046	0.0	0.0	0.0	0.0	0.00026671639614696995	0.0
11	125.09	187.51020408163265	255.0	0.0	0.2674941332825293	0.0	0.0	0.19595539997387046	0.0	0.0	0.0	0.0	0.00026671639614696995	0.0
12	125.09	193.1020408163265	255.0	0.0	0.2674941332825293	0.0	0.0	0.19595539997387046	0.0	0.0	0.0	0.0	0.00026671639614696995	0.0
13	125.09	198.6938775510204	255.0	0.0	0.2674941332825294	0.0	0.0	0.19595539997387054	0.0	0.0	0.0	0.0	0.00026671639614697006	0.0
14	125.09	204.28571428571428	255.0	0.0	0.2674941332825292	0.0	0.0	0.19595539997387038	0.0	0.0	0.0	0.0	0.00026671639614696984	0.0
15	125.09	209.87755102040816	255.0	0.0	0.2674941332825293	0.0	0.0	0.19595539997387046	0.0	0.0	0.0	0.0	0.00026671639614696995	0.0
16	125.09	215.46938775510205	255.0	0.0	0.2674941332825294	0.0	0.0	0.19595539997387054	0.0	0.0	0.0	0.0	0.00026671639614697006	0.0
17	125.09	221.06122448979596	255.0	0.0	0.2674941332825293	0.0	0.0	0.19595539997387046	0.0	0.0	0.0	0.0	0.00026671639614696995	0.0
18	125.09	226.65306122448985	255.0	0.0	0.2674941332825294	0.0	0.0	0.19595539997387054	0.0	0.0	0.0	0.0	0.00026671639614697006	0.0
19	125.09	232.24489795918367	255.0	0.0	0.2674941332825294	0.0	0.0	0.19595539997387054	0.0	0.0	0.0	0.0	0.00026671639614697006	0.0
20	125.09	237.8367346938776	255.0	0.0	0.2674941332825293	0.0	0.0	0.19595539997387046	0.0	0.0	0.0	0.0	0.00026671639614696995	0.0
21	125.09	243.42857142857144	255.0	0.0	0.2674941332825293	0.0	0.0	0.19595539997387046	0.0	0.0	0.0	0.0	0.00026671639614696995	0.0
22	125.09	249.0204081632653	255.0	0.0	0.2674941332825294	0.0	0.0	0.19595539997387054	0.0	0.0	0.0	0.0	0.00026671639614697006	0.0
23	125.09	254.6122448979592	255.0	0.0	0.2674941332825292	0.0	0.0	0.19595539997387038	0.0	0.0	0.0	0.0	0.00026671639614696984	0.0
24	125.09	255.0	260.2040816326531	0.0	0.3194019874676549	0.0	0.0	0.007763955279372164	0.0	0.0	0.0	0.0	1.0567579011532782e-05	0.0
25	125.09	255.0	265.795918367347	0.0	0.3536478890904289	0.0	0.0	0.008342695943482121	0.0	0.0	0.0	0.0	1.1355307363268404e-05	0.0
26	125.09	255.0	271.38775510204084	0.0	0.374619841659622	0.0	0.0	0.00857944384336521	0.0	0.0	0.0	0.0	1.1677546743559028e-05	0.0
27	125.09	255.0	276.9795918367347	0.0	0.3877826709490707	0.0	0.0	0.008647575522856348	0.0	0.0	0.0	0.0	1.1770281294481024e-05	0.0
28	125.09	255.0	282.57142857142856	0.0	0.3965607738160209	0.0	0.0	0.008621606486408194	0.0	0.0	0.0	0.0	1.1734934640018913e-05	0.0
29	125.09	255.0	288.16326530612247	0.0	0.4023531210375276	0.0	0.0	0.008542695057562767	0.0	0.0	0.0	0.0	1.1627527689665583e-05	0.0
30	125.09	255.0	293.7551020408164	0.0	0.4061466221280911	0.0	0.0	0.008442657377630313	0.0	0.0	0.0	0.0	1.1491365637106452e-05	0.0
31	125.09	255.0	299.34693877551024	0.0	0.4089349193183965	0.0	0.0	0.008331697752651858	0.0	0.0	0.0	0.0	1.134033764147061e-05	0.0
32	125.09	255.0	304.9387755102041	0.0	0.4097637061903471	0.0	0.0	0.008218264733201777	0.0	0.0	0.0	0.0	1.1185943089670411e-05	0.0
33	125.09	255.0	310.53061224489795	0.0	0.4102091818708731	0.0	0.0	0.008106262730253664	0.0	0.0	0.0	0.0	1.1033496305394262e-05	0.0
34	125.09	255.0	316.12244897959187	0.0	0.4093892606932128	0.0	0.0	0.008010953375788988	0.0	0.0	0.0	0.0	1.0903770012853703e-05	0.0
35	125.09	255.0	321.71428571428567	0.0	0.4086343577321237	0.0	0.0	0.00793519463317956	0.0	0.0	0.0	0.0	1.0800654207889374e-05	0.0
36	125.09	255.0	327.30612244897964	0.0	0.4076748477409273	0.0	0.0	0.007896278606846371	0.0	0.0	0.0	0.0	1.0747685306305992e-05	0.0
37	125.09	255.0	332.8979591836735	0.0	0.4065171826025193	0.0	0.0	0.00790603997086286	0.0	0.0	0.0	0.0	1.076097157365205e-05	0.0
38	125.09	255.0	338.4897959183673	0.0	0.4052647385980194	0.0	0.0	0.007962336420667737	0.0	0.0	0.0	0.0	1.0837597102776675e-05	0.0
39	125.09	255.0	344.0816326530612	0.0	0.4022575372219653	0.0	0.0	0.008172542870281935	0.0	0.0	0.0	0.0	1.1123710711768437e-05	0.0
40	125.09	255.0	349.6734693877551	0.0	0.3991003319538972	0.0	0.0	0.008445041999182473	0.0	0.0	0.0	0.0	1.1494611363770022e-05	0.0
41	125.09	255.0	355.26530612244903	0.0	0.3917067683379982	0.0	0.0	0.008470057814252049	0.0	0.0	0.0	0.0	1.1528660581310984e-05	0.0
42	125.09	255.0	360.8571428571429	0.0	0.3850020678298664	0.0	0.0	0.008469094134499729	0.0	0.0	0.0	0.0	1.1527348909417212e-05	0.0
43	125.09	255.0	366.4489795918368	0.0	0.3783603821453919	0.0	0.0	0.008327371360513314	0.0	0.0	0.0	0.0	1.1334448955985724e-05	0.0
44	125.09	255.0	372.0408163265306	0.0	0.3724574654801254	0.0	0.0	0.008162441925952835	0.0	0.0	0.0	0.0	1.110996223905731e-05	0.0
45	125.09	255.0	377.63265306122446	0.0	0.3669666458879845	0.0	0.0	0.007940204503064789	0.0	0.0	0.0	0.0	1.0807473180171495e-05	0.0
