	mH1	mH2	mH3	R11	R12	R13	R21	R22	R23	R31	R32	R33	thetahS	thetahX	thetaSX	v	vs	vx	LH	LS	LX	LHS	LHX	LSX	muHsq	muSsq	muXsq	S	STU_chisq	T	U	b_H1_WW	b_H1_ZZ	b_H1_Zgam	b_H1_bb	b_H1_cc	b_H1_gamgam	b_H1_gg	b_H1_mumu	b_H1_ss	b_H1_tautau	b_H1_tt	b_H2_H1H1	b_H2_WW	b_H2_ZZ	b_H2_Zgam	b_H2_bb	b_H2_cc	b_H2_gamgam	b_H2_gg	b_H2_mumu	b_H2_ss	b_H2_tautau	b_H2_tt	b_H3_H1H1	b_H3_H1H2	b_H3_H2H2	b_H3_WW	b_H3_ZZ	b_H3_Zgam	b_H3_bb	b_H3_cc	b_H3_gamgam	b_H3_gg	b_H3_mumu	b_H3_ss	b_H3_tautau	b_H3_tt	c_H1H1H1	c_H1H1H2	c_H1H1H3	c_H1H2H2	c_H1H2H3	c_H1H3H3	c_H2H2H2	c_H2H2H3	c_H2H3H3	c_H3H3H3	hb_H1_channel	hb_H1_ncombined	hb_H1_obsratio	hb_H1_result	hb_H2_channel	hb_H2_ncombined	hb_H2_obsratio	hb_H2_result	hb_H3_channel	hb_H3_ncombined	hb_H3_obsratio	hb_H3_result	hb_channel	hb_result	hs_chisqMass	hs_chisqMu	hs_deltaChisq	maxEV	mu_H1_WW	mu_H1_ZZ	mu_H1_bb	mu_H1_bb_VH	mu_H1_gamgam	mu_H1_tautau	mu_H2_WW	mu_H2_ZZ	mu_H2_bb	mu_H2_bb_VH	mu_H2_gamgam	mu_H2_tautau	mu_H3_WW	mu_H3_ZZ	mu_H3_bb	mu_H3_bb_VH	mu_H3_gamgam	mu_H3_tautau	valid_BFB	valid_Higgs	valid_STU	valid_Uni	w_H1	w_H2	w_H3	x_H1W	x_H1Z	x_H1_bb	x_H1_gg	x_H1_vbf	x_H1tt	x_H2W	x_H2Z	x_H2_bb	x_H2_gg	x_H2_vbf	x_H2tt	x_H3W	x_H3Z	x_H3_bb	x_H3_gg	x_H3_vbf	x_H3tt	dataId	ObsLim
0	110.0	125.09	1000	0.0836839761481554	-0.3763515029188245	-0.922689838671033	0.9756992217264652	-0.1572204959684904	0.1526196067672558	-0.202504372442683	-0.9130395730186966	0.3540490322588543	1.352	1.175	-0.4069999999999998	246.21965079413735	120	890	0.4617717806307893	29.01881565774844	0.0858582279788592	6.163639329069614	-0.3208092289939258	-2.9909592139155494	54683.785777375	579865.8570185052	-36749.0080155365	0.0056048066255587	4.681338163785736	-0.009992148614875	-0.000161049650611	0.0461113895132097	0.0042910598917932	0.0003870956126163	0.7541862840121509	0.0369091165517882	0.0019804891808276	0.0764188754622391	0.0002800691770867	0.0003160780712836	0.0791195425270041	0	0.0	0.209540379497799	0.0264361676497814	0.0015471908249778	0.5894339299133892	0.0288244756313645	0.0023091776568478	0.0780986508779571	0.000224432558631	0.0002463398800228	0.0633392555092288	0.0	0.132318731516892	0.1573485581120968	0.2220486437929696	0.299758756915217	0.1484147591241465	3.783599944776763e-07	1.2839829490016628e-05	6.297863133886483e-07	2.55820176911358e-07	6.151401200540285e-05	7.030172800617468e-09	5.370270889360566e-09	1.9918822935082837e-06	0.0400329284479605	-48.07820634521683	-0.4713687121653862	-762.8014125872495	9.628755760319287	-589.288964690624	-5494.109682563407	175.75626853059444	-991.8730796132729	-1830.6386943636555	-18980.271678287463	871	2	0.4275574112734864	1	377	1	0.7547595751661664	1	264	1	0.1160396862341066	1	377	1	2.524892204070705e-25	85.42167931260484	-0.3459825658951558	87.53108852887482	0.0070047380342595	0.0070047380342595	0.0070047380342595	0.0070047380342595	0.0070047380342595	0.0070047380342595	0.9518725858165624	0.9518725858165624	0.951872585816562	0.951872585816562	0.951872585816562	0.951872585816562	0.0200203800587438	0.0200203800587438	0.0200203800587438	0.0200203800587438	0.0200203800587438	0.0200203800587438	0	1	1	0	2.0163680988545248e-05	0.0038891219351199	42.67062598476323	0.0153645992535393	0.0091925802975663	0.0050855843108114	0.368918454273679	0.031051336868821	0.0045290828120671	1.4012363747794288	0.8667036509482998	0.4634901105010833	39.91583133802319	3.7339520704392815	0.4520807104411462	1.4701375477738152e-05	1.219064835800605e-05	3.386442362487076e-06	0.0050562889718413	0.0035808203813559	4.8659540421750525e-05	X1000_S110	0.00010084575269693401
1	125.0	125.09	1000	0.0836839761481554	-0.3763515029188245	-0.922689838671033	0.9756992217264652	-0.1572204959684904	0.1526196067672558	-0.202504372442683	-0.9130395730186966	0.3540490322588543	1.352	1.175	-0.4069999999999998	246.21965079413735	120	890	0.4619753761977948	29.036151859118792	0.0877525795744995	6.159881897102049	-0.3220512943500521	-2.9794978246929	55190.41647047504	575190.8280136948	-38294.39635946006	0.0056849118005521	4.6993849435535004	-0.0100529755079399	-0.000164277673405	0.2079746270954943	0.0261968039899132	0.0015398121429185	0.5909279067953709	0.0288964746300951	0.0023097182143778	0.0781904607637868	0.0002249725533484	0.0002469698696758	0.0634922539450187	0	0.0	0.209540379497799	0.0264361676497814	0.0015471908249778	0.5894339299133892	0.0288244756313645	0.0023091776568478	0.0780986508779571	0.000224432558631	0.0002463398800228	0.0633392555092288	0.0	0.1329737940123615	0.1576285585674818	0.2217563449067337	0.2993641625178406	0.1482193899111132	3.778619315168184e-07	1.2822927482441707e-05	6.289572795570267e-07	2.554834220836295e-07	6.143303660789564e-05	7.020918469473786e-09	5.363201608625811e-09	1.9892602330175728e-06	0.0399802301733923	-62.08446067305886	-0.5547653805951142	-768.0520960072256	10.410904657296308	-591.3101260986185	-5503.734818804667	175.7562685305944	-991.8730796132728	-1830.6386943636548	-18980.271678287463	871	2	0.4307045215562565	1	377	1	0.7547595751661664	1	264	1	0.1158869346997311	1	377	1	0.0010237976372491	85.18029481347574	-0.5863432673869937	87.5820776012679	0.0070021536012257	0.0070021536012257	0.0070021536012257	0.0070021536012257	0.0070021536012257	0.0070021536012257	0.9518725858165624	0.9518725858165624	0.951872585816562	0.951872585816562	0.951872585816562	0.951872585816562	0.0199940257667598	0.0199940257667598	0.0199940257667598	0.0199940257667598	0.0199940257667598	0.0199940257667598	0	1	1	0	2.8505719279862544e-05	0.0038891219351199	42.72687049247089	0.0103294365993484	0.006388640436204	0.0034167675368285	0.2939862701292529	0.0274868058660628	0.0033314364996799	1.4012363747794288	0.8667036509482998	0.4634901105010833	39.91583133802319	3.7339520704392815	0.4520807104411462	1.4701375477738152e-05	1.219064835800605e-05	3.386442362487076e-06	0.0050562889718413	0.0035808203813559	4.8659540421750525e-05	X1000_S125	0.00013528526842058902
2	125.09	150.0	1000	0.9664728381913398	0.1253712029286557	-0.2240810445231769	0.0938658295313625	0.6397840660254767	0.7628011240856278	0.23899677630622	-0.7582601204970034	0.606565850158995	-0.129	0.226	-0.8990000000000002	246.21965079413735	140	100	0.5932751692538019	14.9085239555395	19.08999015812915	-5.163059453576112	5.815520841331118	-32.09954677298498	-14446.404501743986	24793.62307920924	-52604.749519911245	0.0080303142412513	5.6066291953898455	-0.0141054406762475	-0.0002335730709895	0.2095403794977989	0.0264361676497814	0.0015471908249778	0.5894339299133892	0.0288244756313645	0.0023091776568478	0.0780986508779571	0.000224432558631	0.0002463398800228	0.0633392555092288	0	0.0	0.6879349901434315	0.0832921288938195	0.0023697760561626	0.1659843144822814	0.0080992346223281	0.0013898686574118	0.0323969384893127	6.529382973309023e-05	6.919346121791493e-05	0.018398261364301	0.0	0.1305228301057177	0.3961628035275382	0.1816980656619631	0.1790239448280418	0.0886372625858709	2.2596670560542746e-07	7.6682894934487e-06	3.7612522610451806e-07	1.527826499835407e-07	3.673781278230176e-05	4.1986071751202e-09	3.2072693698834864e-09	1.1896053662840567e-06	0.0239087353027678	167.4915526650684	43.62468365820615	1161.3504648904454	-54.747295666558784	-1435.9372386609948	-172.04679446664682	426.0868929393532	1380.4391028310383	11034.323509851927	-2480.7705840456088	376	1	0.7405527864951748	1	872	2	0.4220504894384338	1	264	1	0.0965297242818643	1	376	1	2.5912293106079545e-25	86.26472489359291	0.4970630150929054	69.13742338140116	0.9339555522162544	0.9339555522162544	0.9339555522162541	0.9339555522162544	0.9339555522162541	0.9339555522162541	0.0088099614122573	0.0088099614122573	0.0088099614122573	0.0088099614122573	0.0088099614122573	0.0088099614122573	0.0166543174133528	0.0166543174133528	0.0166543174133528	0.0166543174133528	0.0166543174133528	0.0166543174133528	0	1	1	0	0.0038159172547608	0.0001480353264371	99.51878079304083	1.3748609968318015	0.8503897464752248	0.4547658673544709	39.16449833198429	3.6636681419966863	0.4435712256637518	0.0071843213897742	0.0046569361318573	0.0023727468117073	0.2668789488548717	0.0285381616157454	0.0026609140336621	2.0477326081888383e-05	1.6980171818244975e-05	4.716924931219925e-06	0.0070428293051515	0.0049876711672817	6.777714627586097e-05	X1000_S150	0.000135498934637623
3	125.09	170.0	1000	0.9664728381913398	0.1253712029286557	-0.2240810445231769	0.0938658295313625	0.6397840660254767	0.7628011240856278	0.23899677630622	-0.7582601204970034	0.606565850158995	-0.129	0.226	-0.8990000000000002	246.21965079413735	140	100	0.5937402406199269	14.975352306746045	19.276187135699168	-5.151909574188154	5.83413211562675	-31.876448256534097	-14676.924231875691	22030.31902016845	-57217.23078680154	0.0081192693622553	5.633049979612527	-0.0141992097799934	-0.0002373847176652	0.2095403794977989	0.0264361676497814	0.0015471908249778	0.5894339299133892	0.0288244756313645	0.0023091776568478	0.0780986508779571	0.000224432558631	0.0002463398800228	0.0633392555092288	0	0.0	0.962818941897976	0.0243954124426901	0.0004219206578202	0.0085783868343558	0.0004199210338495	0.0001609697296423	0.0022195826074906	3.459349469332292e-06	3.5893250274285914e-06	0.0009778161216783	0.0	0.1300053600860585	0.396723070522945	0.1828114089011988	0.1783141875834693	0.0882858518328577	2.250708393765289e-07	7.637887839487369e-06	3.74634042317061e-07	1.5217692881716278e-07	3.659216227282922e-05	4.181961402609054e-09	3.194553849215249e-09	1.1848890640725651e-06	0.0238139468759682	167.49155266506847	48.814717886925614	1161.3504648904457	-66.30202242262703	-1444.7895436135443	-172.04679446664647	547.2849424865481	1397.3478305977746	11069.240528622287	-2480.7705840456088	376	1	0.7405527864951748	1	224	1	0.0419498128993545	1	264	1	0.0961470231231368	1	376	1	2.1060000000001607e-25	86.26991488685027	0.5022530083502658	69.47561997406444	0.9339555522162544	0.9339555522162544	0.9339555522162541	0.9339555522162544	0.9339555522162541	0.9339555522162541	0.0088091373953236	0.0088091373953236	0.0088091373953236	0.0088091373953236	0.0088091373953236	0.0088091373953236	0.0165882898076663	0.0165882898076663	0.0165882898076663	0.0165882898076663	0.0165882898076663	0.0165882898076663	0	1	1	0	0.0038159172547608	0.0031724822964289	99.91490281000496	1.3748609968318015	0.8503897464752248	0.4547658673544709	39.16449833198429	3.6636681419966863	0.4435712256637518	0.0047040828918328	0.0031364505471227	0.0015586294503937	0.2131331057378457	0.0246878446580175	0.0019277576025384	2.0477326081888383e-05	1.6980171818244975e-05	4.716924931219925e-06	0.0070428293051515	0.0049876711672817	6.777714627586097e-05	X1000_S170	0.000133136330031898
4	125.09	185.0	1000	0.9664728381913398	0.1253712029286557	-0.2240810445231769	0.0938658295313625	0.6397840660254767	0.7628011240856278	0.23899677630622	-0.7582601204970034	0.606565850158995	-0.129	0.226	-0.8990000000000002	246.21965079413735	140	100	0.5941271945300229	15.030955583335864	19.431108839692968	-5.142632526103641	5.849617277443037	-31.690823319018325	-14868.723851086825	19731.16368979469	-61054.95934089372	0.00817721176225	5.651354156200552	-0.0142667743013052	-0.0002398413978322	0.2095403794977989	0.0264361676497814	0.0015471908249778	0.5894339299133892	0.0288244756313645	0.0023091776568478	0.0780986508779571	0.000224432558631	0.0002463398800228	0.0633392555092288	0	0.0	0.8569442999111748	0.1362206263081219	0.0002661379845608	0.004392277263993	0.0002151115288743	8.894611589270687e-05	0.0013607054849727	1.8009337301110504e-06	1.830949292279568e-06	0.0005082635193868	0.0	0.1295928169491286	0.3972020260898611	0.1836667072813074	0.1777483471115374	0.0880056962897514	2.24356627054465e-07	7.613650698751523e-06	3.734452243874321e-07	1.5169402913101893e-07	3.6476045172725926e-05	4.168690876882962e-09	3.1844166420633747e-09	1.1811290817835065e-06	0.0237383786044724	167.4915526650684	53.1329885537898	1161.3504648904457	-75.91591616888672	-1452.1549379685953	-172.0467944666466	648.1255071488592	1411.41642049744	11098.292579396064	-2480.7705840456088	376	1	0.7405527864951748	1	800	1	0.0768340444846637	1	264	1	0.0958419218988533	1	376	1	2.1060000000001607e-25	86.26991488685027	0.5022530083502658	69.75891605482241	0.9339555522162544	0.9339555522162544	0.9339555522162541	0.9339555522162544	0.9339555522162541	0.9339555522162541	0.0088153644556201	0.0088153644556201	0.0088153644556201	0.0088153644556201	0.0088153644556201	0.0088153644556201	0.0165356505541077	0.0165356505541077	0.0165356505541077	0.0165356505541077	0.0165356505541077	0.0165356505541077	0	1	1	0	0.0038159172547608	0.0070097557537306	100.23296987885692	1.3748609968318015	0.8503897464752248	0.4547658673544709	39.16449833198429	3.6636681419966863	0.4435712256637518	0.0035265202799327	0.0023779672887388	0.0011678707385511	0.1836169459932494	0.0222560655268209	0.0015437118319527	2.0477326081888383e-05	1.6980171818244975e-05	4.716924931219925e-06	0.0070428293051515	0.0049876711672817	6.777714627586097e-05	X1000_S185	0.00013901263429103201
5	125.09	200.0	1000	0.9664728381913398	0.1253712029286557	-0.2240810445231769	0.0938658295313625	0.6397840660254767	0.7628011240856278	0.23899677630622	-0.7582601204970034	0.606565850158995	-0.129	0.226	-0.8990000000000002	246.21965079413735	140	100	0.5945468487705496	15.091257728369897	19.599122518672164	-5.132571502124665	5.866411044483233	-31.489511767064595	-15076.73188882284	17237.713542769605	-65217.002984064166	0.0082291568775235	5.668550178457986	-0.0143320042135534	-0.0002420029316885	0.2095403794977989	0.0264361676497814	0.0015471908249778	0.5894339299133892	0.0288244756313645	0.0023091776568478	0.0780986508779571	0.000224432558631	0.0002463398800228	0.0633392555092288	0	0.0	0.7388491713301645	0.2569475467278109	0.0001829626500046	0.0025694754672781	0.0001259742836097	5.4988774591554874e-05	0.000965802841008	1.0697816147811585e-06	1.0697816147811585e-06	0.0003019383623027	0.0	0.1291642435504839	0.3977362951564137	0.1845185375036366	0.1771605196762022	0.0877146546931033	2.2361466245774714e-07	7.588471771146774e-06	3.722102123490242e-07	1.5119236532627036e-07	3.63554160899047e-05	4.154904695989108e-09	3.173885531658346e-09	1.177222997196914e-06	0.0236598739632713	167.4915526650684	57.81618350236101	1161.3504648904454	-86.34225164018336	-1460.142760015622	-172.0467944666467	757.4878096699625	1426.6739053182037	11129.799733052132	-2480.770584045608	376	1	0.7405527864951748	1	800	1	0.1768271762851091	1	264	1	0.0955249653022778	1	376	1	2.1060000000001607e-25	86.26991488685027	0.5022530083502658	70.06812059096987	0.9339555522162544	0.9339555522162544	0.9339555522162541	0.9339555522162544	0.9339555522162541	0.9339555522162541	0.0088089956852316	0.0088089956852316	0.0088089956852316	0.0088089956852316	0.0088089956852316	0.0088089956852316	0.0164809658877534	0.0164809658877534	0.0164809658877534	0.0164809658877534	0.0164809658877534	0.0164809658877534	0	1	1	0	0.0038159172547608	0.0120732518470512	100.56554786930089	1.3748609968318015	0.8503897464752248	0.4547658673544709	39.16449833198429	3.6636681419966863	0.4435712256637518	0.0026635030121765	0.00180822306949	0.000881079395361	0.159651586439428	0.0201062318021398	0.0012540905055075	2.0477326081888383e-05	1.6980171818244975e-05	4.716924931219925e-06	0.0070428293051515	0.0049876711672817	6.777714627586097e-05	X1000_S200	0.00013497257720611702
6	125.09	250.0	1000	0.9664728381913398	0.1253712029286557	-0.2240810445231769	0.0938658295313625	0.6397840660254767	0.7628011240856278	0.23899677630622	-0.7582601204970034	0.606565850158995	-0.129	0.226	-0.8990000000000002	246.21965079413735	140	100	0.5961818652920823	15.32620115058041	20.253721267941746	-5.093372707401377	5.931841305678812	-30.70518104516696	-15887.152815067077	7522.972710204398	-81432.75743797497	0.0083705690142244	5.7194154834624005	-0.0145335400214866	-0.000247552185136	0.2095403794977989	0.0264361676497814	0.0015471908249778	0.5894339299133892	0.0288244756313645	0.0023091776568478	0.0780986508779571	0.000224432558631	0.0002463398800228	0.0633392555092288	0	0.0	0.7009369044636077	0.2969732676543388	9.8091170225221e-05	0.0010699036915493	5.259526558457314e-05	2.439780380729249e-05	0.0007119359143767	4.669579663117046e-07	4.489595864538658e-07	0.0001319881189574	0.0	0.1276890414526296	0.400000876485741	0.1870250795927462	0.1751371456904973	0.0867128538923635	2.2106072949533467e-07	7.501802820293293e-06	3.679591497406215e-07	1.494655771039424e-07	3.594019602117699e-05	4.107450973848799e-09	3.1376361605789435e-09	1.1637777759238264e-06	0.0233896513788612	167.49155266506847	76.06239758770272	1161.3504648904454	-126.9643378919866	-1491.2641446144282	-172.04679446664636	1183.574702609316	1486.1186513731277	11252.554877166678	-2480.7705840456088	376	1	0.7405527864951748	1	800	1	0.2450733402134499	1	264	1	0.0944339618996503	1	376	1	2.1060000000001607e-25	86.26991488685027	0.5022530083502658	71.29253599748704	0.9339555522162544	0.9339555522162544	0.9339555522162541	0.9339555522162544	0.9339555522162541	0.9339555522162541	0.0088100009125686	0.0088100009125686	0.0088100009125686	0.0088100009125686	0.0088100009125686	0.0088100009125686	0.0162927345724608	0.0162927345724608	0.0162927345724608	0.0162927345724608	0.0162927345724608	0.0162927345724608	0	1	1	0	0.0038159172547608	0.0345414212988742	101.727389993738	1.3748609968318015	0.8503897464752248	0.4547658673544709	39.16449833198429	3.6636681419966863	0.4435712256637518	0.0011806463897838	0.0007734203320053	0.0003885560133542	0.109958708541063	0.0147052151085764	0.0006823544205719	2.0477326081888383e-05	1.6980171818244975e-05	4.716924931219925e-06	0.0070428293051515	0.0049876711672817	6.777714627586097e-05	X1000_S250	9.041051114158102e-05
7	125.09	300.0	1000	0.9664728381913398	0.1253712029286557	-0.2240810445231769	0.0938658295313625	0.6397840660254767	0.7628011240856278	0.23899677630622	-0.7582601204970034	0.606565850158995	-0.129	0.226	-0.8990000000000002	246.21965079413735	140	100	0.5981802188184001	15.613354222171036	21.053786405937903	-5.045463069406248	6.011811624917852	-29.746554607292072	-16877.667280476693	-4350.599418486409	-101252.01288164378	0.0084790283316972	5.762703614364047	-0.01471328559553	-0.0002513263020122	0.2095403794977989	0.0264361676497814	0.0015471908249778	0.5894339299133892	0.0288244756313645	0.0023091776568478	0.0780986508779571	0.000224432558631	0.0002463398800228	0.0633392555092288	0	0.7095296607397035	0.2008099242679173	0.0892165654851673	1.7087733063608592e-05	0.000172620976867	8.456684220255273e-06	3.865082478673372e-06	0.0001993568857421	7.759225727863084e-08	7.207071088052604e-08	2.1940881739837563e-05	2.0371600131955143e-05	0.1263418321655029	0.4033165039795093	0.1880666190177988	0.1732893254977	0.0857979722333889	2.1872838316077774e-07	7.422653518875426e-06	3.6407692164826234e-07	1.4788861003386781e-07	3.556100164936516e-05	4.0641144742131615e-09	3.104531890023942e-09	1.1514991010270624e-06	0.0231428740892693	167.49155266506853	98.36332591423196	1161.3504648904454	-176.61355442196782	-1529.3013924574138	-172.0467944666466	1704.3475717574142	1558.7733409958146	11402.588942195564	-2480.7705840456088	376	1	0.7405527864951748	1	515	1	0.0710352730824832	1	264	1	0.0934376171151327	1	376	1	2.1060000000001607e-25	86.26991488685027	0.5022530083502658	72.83223935356203	0.9339555522162544	0.9339555522162544	0.9339555522162541	0.9339555522162544	0.9339555522162541	0.9339555522162541	0.0025604846115265	0.0025604846115265	0.0025604846115265	0.0025604846115265	0.0025604846115265	0.0025604846115265	0.0161208347517792	0.0161208347517792	0.0161208347517792	0.0161208347517792	0.0161208347517792	0.0161208347517792	1	1	1	0	0.0038159172547608	0.2495213752073173	102.81213035412156	1.3748609968318015	0.8503897464752248	0.4547658673544709	39.16449833198429	3.6636681419966863	0.4435712256637518	0.0005924377854407	0.0003646884123535	0.0001920753081887	0.086548429006319	0.0110663572057351	0.0004096946415095	2.0477326081888383e-05	1.6980171818244975e-05	4.716924931219925e-06	0.0070428293051515	0.0049876711672817	6.777714627586097e-05	X1000_S300	9.2099935791024e-05
8	125.09	350.0	1000	0.9664728381913398	0.1253712029286557	-0.2240810445231769	0.0938658295313625	0.6397840660254767	0.7628011240856278	0.23899677630622	-0.7582601204970034	0.606565850158995	-0.129	0.226	-0.8990000000000002	246.21965079413735	140	100	0.6005419093495028	15.952716943141771	21.99931793266064	-4.988842588139276	6.106322002200356	-28.613632453439926	-18048.275285051703	-18383.00284330282	-124674.7693150706	0.0085665520323523	5.800434732723776	-0.0148746867690321	-0.0002539845610578	0.2095403794977989	0.0264361676497814	0.0015471908249778	0.5894339299133892	0.0288244756313645	0.0023091776568478	0.0780986508779571	0.000224432558631	0.0002463398800228	0.0633392555092288	0	0.7006361748578083	0.201873881915981	0.0922509727449883	1.105214576068205e-05	0.000110820973752	5.4212422294944475e-06	2.312264641530228e-06	0.0002725596922011	5.12172608421851e-08	4.642500251777012e-08	1.4496581431355314e-05	0.0048222099389425	0.1255047998486391	0.4084403876768283	0.1856498793075889	0.1721412594682389	0.085229548661799	2.172792770160996e-07	7.373477400675381e-06	3.616648610977658e-07	1.4690882729862738e-07	3.53254050374562e-05	4.03718914713785e-09	3.083963931841414e-09	1.1438702583557245e-06	0.0229895493100905	167.4915526650684	124.71896848194784	1161.3504648904454	-235.28990123012773	-1574.2545035445776	-172.04679446664636	2319.8064171142605	1644.637974186261	11579.901928138795	-2480.77058404561	376	1	0.7405527864951748	1	515	1	0.1520945327353802	1	264	1	0.0928185798272006	1	376	1	2.1060000000001607e-25	86.26991488685027	0.5022530083502658	74.71396154073153	0.9339555522162544	0.9339555522162544	0.9339555522162541	0.9339555522162544	0.9339555522162541	0.9339555522162541	0.002638975041806	0.002638975041806	0.002638975041806	0.002638975041806	0.002638975041806	0.002638975041806	0.0160140319657916	0.0160140319657916	0.0160140319657916	0.0160140319657916	0.0160140319657916	0.0160140319657916	1	1	1	0	0.0038159172547608	0.4412513695460558	103.4978178798241	1.3748609968318015	0.8503897464752248	0.4547658673544709	39.16449833198429	3.6636681419966863	0.4435712256637518	0.00032476586513	0.0001922557788933	0.0001034387210153	0.0903106380245109	0.0085165134355602	0.0002642653173468	2.0477326081888383e-05	1.6980171818244975e-05	4.716924931219925e-06	0.0070428293051515	0.0049876711672817	6.777714627586097e-05	X1000_S350	0.000134161194145349
9	125.09	400.0	1000	0.9664728381913398	0.1253712029286557	-0.2240810445231769	0.0938658295313625	0.6397840660254767	0.7628011240856278	0.23899677630622	-0.7582601204970034	0.606565850158995	-0.129	0.226	-0.8990000000000002	246.21965079413735	140	100	0.6032669368853906	16.344289313492627	23.090315848109945	-4.923511263600464	6.2153724375263195	-27.306414583610533	-19398.976828792085	-34574.23756424483	-151701.02673825523	0.0086397633415248	5.833899331999927	-0.0150207144879608	-0.0002559169838696	0.2095403794977989	0.0264361676497814	0.0015471908249778	0.5894339299133892	0.0288244756313645	0.0023091776568478	0.0780986508779571	0.000224432558631	0.0002463398800228	0.0633392555092288	0	0.6526536946040068	0.200379410416397	0.0934177840589442	6.841376750785132e-06	7.640116168389489e-05	3.7506024826639294e-06	8.925044796709538e-07	0.0003174120989958	3.611691279602304e-08	3.191484890340881e-08	1.0209973425029588e-05	0.0531335351710723	0.1258633577250539	0.4170941371468674	0.1758364759274073	0.172633054240333	0.0854730431417935	2.1790002774634866e-07	7.39454287706964e-06	3.6269811070037386e-07	1.4732853488914418e-07	3.542632709166443e-05	4.048723096190221e-09	3.0927745873675294e-09	1.1471382105872292e-06	0.0230552287421943	167.49155266506835	155.12932529085077	1161.350464890446	-302.9933783164663	-1626.123477875922	-172.0467944666466	3029.9512386798506	1743.7125509444695	11784.493834996374	-2480.77058404561	376	1	0.7405527864951748	1	515	1	0.1597884036429158	1	264	1	0.0930837556046593	1	376	1	2.1060000000001607e-25	86.26991488685027	0.5022530083502658	76.96916272925358	0.9339555522162544	0.9339555522162544	0.9339555522162541	0.9339555522162544	0.9339555522162541	0.9339555522162541	0.0030597949700604	0.0030597949700604	0.0030597949700604	0.0030597949700604	0.0030597949700604	0.0030597949700604	0.0160597828637765	0.0160597828637765	0.0160597828637765	0.0160597828637765	0.0160597828637765	0.0160597828637765	1	1	1	0	0.0038159172547608	0.7154624940699577	103.20297465886374	1.3748609968318015	0.8503897464752248	0.4547658673544709	39.16449833198429	3.6636681419966863	0.4435712256637518	0.0001905774732166	0.0001125930045349	5.9305454101754425e-05	0.0838435152625605	0.006678581816837	0.0001799609594678	2.0477326081888383e-05	1.6980171818244975e-05	4.716924931219925e-06	0.0070428293051515	0.0049876711672817	6.777714627586097e-05	X1000_S400	0.000132293659932394
