	mH1	mH2	mH3	thetahS	thetahX	thetaSX	vs	vx
0	90.0	125.09	500.0	-1.5707963267948966	-1.5707963267948966	-1.5707963267948966	1.0	1.0
1	90.0	125.09	500.0	-1.5707963267948966	-1.5707963267948966	-1.5707963267948966	1.0	500.5
2	90.0	125.09	500.0	-1.5707963267948966	-1.5707963267948966	-1.5707963267948966	1.0	1000.0
3	90.0	125.09	500.0	-1.5707963267948966	-1.5707963267948966	-1.5707963267948966	500.5	1.0
4	90.0	125.09	500.0	-1.5707963267948966	-1.5707963267948966	-1.5707963267948966	500.5	500.5
5	90.0	125.09	500.0	-1.5707963267948966	-1.5707963267948966	-1.5707963267948966	500.5	1000.0
6	90.0	125.09	500.0	-1.5707963267948966	-1.5707963267948966	-1.5707963267948966	1000.0	1.0
7	90.0	125.09	500.0	-1.5707963267948966	-1.5707963267948966	-1.5707963267948966	1000.0	500.5
8	90.0	125.09	500.0	-1.5707963267948966	-1.5707963267948966	-1.5707963267948966	1000.0	1000.0
9	90.0	125.09	500.0	-1.5707963267948966	-1.5707963267948966	0.0	1.0	1.0
10	90.0	125.09	500.0	-1.5707963267948966	-1.5707963267948966	0.0	1.0	500.5
11	90.0	125.09	500.0	-1.5707963267948966	-1.5707963267948966	0.0	1.0	1000.0
12	90.0	125.09	500.0	-1.5707963267948966	-1.5707963267948966	0.0	500.5	1.0
13	90.0	125.09	500.0	-1.5707963267948966	-1.5707963267948966	0.0	500.5	500.5
14	90.0	125.09	500.0	-1.5707963267948966	-1.5707963267948966	0.0	500.5	1000.0
15	90.0	125.09	500.0	-1.5707963267948966	-1.5707963267948966	0.0	1000.0	1.0
16	90.0	125.09	500.0	-1.5707963267948966	-1.5707963267948966	0.0	1000.0	500.5
17	90.0	125.09	500.0	-1.5707963267948966	-1.5707963267948966	0.0	1000.0	1000.0
18	90.0	125.09	500.0	-1.5707963267948966	-1.5707963267948966	1.5707963267948966	1.0	1.0
19	90.0	125.09	500.0	-1.5707963267948966	-1.5707963267948966	1.5707963267948966	1.0	500.5
20	90.0	125.09	500.0	-1.5707963267948966	-1.5707963267948966	1.5707963267948966	1.0	1000.0
21	90.0	125.09	500.0	-1.5707963267948966	-1.5707963267948966	1.5707963267948966	500.5	1.0
22	90.0	125.09	500.0	-1.5707963267948966	-1.5707963267948966	1.5707963267948966	500.5	500.5
23	90.0	125.09	500.0	-1.5707963267948966	-1.5707963267948966	1.5707963267948966	500.5	1000.0
24	90.0	125.09	500.0	-1.5707963267948966	-1.5707963267948966	1.5707963267948966	1000.0	1.0
25	90.0	125.09	500.0	-1.5707963267948966	-1.5707963267948966	1.5707963267948966	1000.0	500.5
26	90.0	125.09	500.0	-1.5707963267948966	-1.5707963267948966	1.5707963267948966	1000.0	1000.0
27	90.0	125.09	500.0	-1.5707963267948966	0.0	-1.5707963267948966	1.0	1.0
28	90.0	125.09	500.0	-1.5707963267948966	0.0	-1.5707963267948966	1.0	500.5
29	90.0	125.09	500.0	-1.5707963267948966	0.0	-1.5707963267948966	1.0	1000.0
30	90.0	125.09	500.0	-1.5707963267948966	0.0	-1.5707963267948966	500.5	1.0
