	mH1	mH2	mH3
0	31.75	125.09	266.25
1	36.875	125.09	266.25
2	36.875	125.09	281.83333333333337
3	42.0	125.09	266.25
4	42.0	125.09	281.83333333333337
5	42.0	125.09	297.4166666666667
6	42.0	125.09	313.0
7	47.125	125.09	266.25
8	47.125	125.09	281.83333333333337
9	47.125	125.09	297.4166666666667
10	47.125	125.09	313.0
11	47.125	125.09	328.58333333333337
12	47.125	125.09	344.1666666666667
13	52.25	125.09	266.25
14	52.25	125.09	281.83333333333337
15	52.25	125.09	297.4166666666667
16	52.25	125.09	313.0
17	52.25	125.09	328.58333333333337
18	52.25	125.09	344.1666666666667
19	52.25	125.09	359.75
20	52.25	125.09	375.33333333333337
21	57.375	125.09	266.25
22	57.375	125.09	281.83333333333337
23	57.375	125.09	297.4166666666667
24	57.375	125.09	313.0
25	57.375	125.09	328.58333333333337
26	57.375	125.09	344.1666666666667
27	57.375	125.09	359.75
28	57.375	125.09	375.33333333333337
29	57.375	125.09	390.9166666666667
30	62.5	125.09	266.25
31	62.5	125.09	281.83333333333337
32	62.5	125.09	297.4166666666667
33	62.5	125.09	313.0
34	62.5	125.09	328.58333333333337
35	62.5	125.09	344.1666666666667
36	62.5	125.09	359.75
37	62.5	125.09	375.33333333333337
38	62.5	125.09	390.9166666666667
39	62.5	125.09	406.5
40	62.5	125.09	422.08333333333337
41	67.625	125.09	266.25
42	67.625	125.09	281.83333333333337
43	67.625	125.09	297.4166666666667
44	67.625	125.09	313.0
45	67.625	125.09	328.58333333333337
46	67.625	125.09	344.1666666666667
47	67.625	125.09	359.75
48	67.625	125.09	375.33333333333337
49	67.625	125.09	390.9166666666667
50	67.625	125.09	406.5
51	67.625	125.09	422.08333333333337
52	67.625	125.09	437.6666666666667
53	67.625	125.09	453.25
54	72.75	125.09	266.25
55	72.75	125.09	281.83333333333337
56	72.75	125.09	297.4166666666667
57	72.75	125.09	313.0
58	72.75	125.09	328.58333333333337
59	72.75	125.09	344.1666666666667
60	72.75	125.09	359.75
61	72.75	125.09	375.33333333333337
62	72.75	125.09	390.9166666666667
63	72.75	125.09	406.5
64	72.75	125.09	422.08333333333337
65	72.75	125.09	437.6666666666667
66	72.75	125.09	453.25
67	72.75	125.09	468.83333333333337
68	72.75	125.09	484.4166666666667
69	77.875	125.09	266.25
70	77.875	125.09	281.83333333333337
71	77.875	125.09	297.4166666666667
72	77.875	125.09	313.0
73	77.875	125.09	328.58333333333337
74	77.875	125.09	344.1666666666667
75	77.875	125.09	359.75
76	77.875	125.09	375.33333333333337
77	77.875	125.09	390.9166666666667
78	77.875	125.09	406.5
79	77.875	125.09	422.08333333333337
80	77.875	125.09	437.6666666666667
81	77.875	125.09	453.25
82	77.875	125.09	468.83333333333337
83	77.875	125.09	484.4166666666667
84	83.0	125.09	266.25
85	83.0	125.09	281.83333333333337
86	83.0	125.09	297.4166666666667
87	83.0	125.09	313.0
88	83.0	125.09	328.58333333333337
89	83.0	125.09	344.1666666666667
90	83.0	125.09	359.75
91	83.0	125.09	375.33333333333337
92	83.0	125.09	390.9166666666667
93	83.0	125.09	406.5
94	83.0	125.09	422.08333333333337
95	83.0	125.09	437.6666666666667
96	83.0	125.09	453.25
97	83.0	125.09	468.83333333333337
98	83.0	125.09	484.4166666666667
99	88.125	125.09	266.25
100	88.125	125.09	281.83333333333337
101	88.125	125.09	297.4166666666667
102	88.125	125.09	313.0
103	88.125	125.09	328.58333333333337
104	88.125	125.09	344.1666666666667
105	88.125	125.09	359.75
106	88.125	125.09	375.33333333333337
107	88.125	125.09	390.9166666666667
108	88.125	125.09	406.5
109	88.125	125.09	422.08333333333337
110	88.125	125.09	437.6666666666667
111	88.125	125.09	453.25
112	88.125	125.09	468.83333333333337
113	88.125	125.09	484.4166666666667
114	93.25	125.09	266.25
115	93.25	125.09	281.83333333333337
116	93.25	125.09	297.4166666666667
117	93.25	125.09	313.0
118	93.25	125.09	328.58333333333337
119	93.25	125.09	344.1666666666667
120	93.25	125.09	359.75
121	93.25	125.09	375.33333333333337
122	93.25	125.09	390.9166666666667
123	93.25	125.09	406.5
124	93.25	125.09	422.08333333333337
125	93.25	125.09	437.6666666666667
126	93.25	125.09	453.25
127	93.25	125.09	468.83333333333337
128	93.25	125.09	484.4166666666667
129	98.375	125.09	266.25
130	98.375	125.09	281.83333333333337
131	98.375	125.09	297.4166666666667
132	98.375	125.09	313.0
133	98.375	125.09	328.58333333333337
134	98.375	125.09	344.1666666666667
135	98.375	125.09	359.75
136	98.375	125.09	375.33333333333337
137	98.375	125.09	390.9166666666667
138	98.375	125.09	406.5
139	98.375	125.09	422.08333333333337
140	98.375	125.09	437.6666666666667
141	98.375	125.09	453.25
142	98.375	125.09	468.83333333333337
143	98.375	125.09	484.4166666666667
144	103.5	125.09	266.25
145	103.5	125.09	281.83333333333337
146	103.5	125.09	297.4166666666667
147	103.5	125.09	313.0
148	103.5	125.09	328.58333333333337
149	103.5	125.09	344.1666666666667
150	103.5	125.09	359.75
151	103.5	125.09	375.33333333333337
152	103.5	125.09	390.9166666666667
153	103.5	125.09	406.5
154	103.5	125.09	422.08333333333337
155	103.5	125.09	437.6666666666667
156	103.5	125.09	453.25
157	103.5	125.09	468.83333333333337
158	103.5	125.09	484.4166666666667
159	108.625	125.09	266.25
160	108.625	125.09	281.83333333333337
161	108.625	125.09	297.4166666666667
162	108.625	125.09	313.0
163	108.625	125.09	328.58333333333337
164	108.625	125.09	344.1666666666667
165	108.625	125.09	359.75
166	108.625	125.09	375.33333333333337
167	108.625	125.09	390.9166666666667
168	108.625	125.09	406.5
169	108.625	125.09	422.08333333333337
170	108.625	125.09	437.6666666666667
171	108.625	125.09	453.25
172	108.625	125.09	468.83333333333337
173	108.625	125.09	484.4166666666667
174	113.75	125.09	266.25
175	113.75	125.09	281.83333333333337
176	113.75	125.09	297.4166666666667
177	113.75	125.09	313.0
178	113.75	125.09	328.58333333333337
179	113.75	125.09	344.1666666666667
180	113.75	125.09	359.75
181	113.75	125.09	375.33333333333337
182	113.75	125.09	390.9166666666667
183	113.75	125.09	406.5
184	113.75	125.09	422.08333333333337
185	113.75	125.09	437.6666666666667
186	113.75	125.09	453.25
187	113.75	125.09	468.83333333333337
188	113.75	125.09	484.4166666666667
189	118.875	125.09	266.25
190	118.875	125.09	281.83333333333337
191	118.875	125.09	297.4166666666667
192	118.875	125.09	313.0
193	118.875	125.09	328.58333333333337
194	118.875	125.09	344.1666666666667
195	118.875	125.09	359.75
196	118.875	125.09	375.33333333333337
197	118.875	125.09	390.9166666666667
198	118.875	125.09	406.5
199	118.875	125.09	422.08333333333337
200	118.875	125.09	437.6666666666667
201	118.875	125.09	453.25
202	118.875	125.09	468.83333333333337
203	118.875	125.09	484.4166666666667
