	mH1	mH2	mH3	thetahS	thetahX	thetaSX	vs	vx	x_X_S_bb_H_gamgam_max	ObsLimExclusions	ScannerSExclusions	numOfNans	numOfModels	ObsLim	dataId	ms	mx
0	110.0	125.09	1000	1.1606439525762295	-1.160643952576229	0.1658062789394617	223	1000	1.4041010277245323e-06	0	95741	0	4259	0.00010084575269693401	X1000_S110	110.0	1000.0
1	125.0	125.09	1000	0.829031394697307	-0.497418836818384	0.1658062789394614	223	1000	3.5077631882883986e-06	0	88191	0	11809	0.00013528526842058902	X1000_S125	125.0	1000.0
2	125.09	150.0	1000	-0.1658062789394611	0.1658062789394614	-0.1658062789394611	112	334	1.2309619910350728e-07	0	98659	0	1341	0.000135498934637623	X1000_S150	150.0	1000.0
3	125.09	170.0	1000	-0.1658062789394611	0.1658062789394614	-0.1658062789394611	112	334	6.373916804522001e-09	0	98151	0	1849	0.000133136330031898	X1000_S170	170.0	1000.0
4	125.09	185.0	1000	-0.1658062789394611	0.1658062789394614	-0.1658062789394611	112	334	3.2689067459694043e-09	0	98023	0	1977	0.00013901263429103201	X1000_S185	185.0	1000.0
5	125.09	200.0	1000	0.1658062789394614	-0.1658062789394612	-1.160643952576229	223	334	5.0222526146333525e-09	0	98145	0	1855	0.00013497257720611702	X1000_S200	200.0	1000.0
6	125.09	250.0	1000	-0.1658062789394612	0.1658062789394614	-0.4974188368183838	223	223	2.8198852878667903e-09	0	98802	0	1198	9.041051114158102e-05	X1000_S250	250.0	1000.0
7	125.09	300.0	1000	-0.1658062789394612	0.1658062789394614	-0.4974188368183838	223	223	1.4869977530793037e-09	0	97828	0	2172	9.2099935791024e-05	X1000_S300	300.0	1000.0
8	125.09	350.0	1000	-0.1658062789394612	0.1658062789394614	-0.4974188368183838	223	223	9.439575579969404e-10	0	97769	0	2231	0.000134161194145349	X1000_S350	350.0	1000.0
9	125.09	400.0	1000	-0.1658062789394612	0.1658062789394614	-0.4974188368183838	223	223	5.794979895630142e-10	0	98489	0	1511	0.000132293659932394	X1000_S400	400.0	1000.0
10	125.09	450.0	1000	-0.1658062789394612	0.1658062789394614	-0.4974188368183838	334	223	3.3607677288993076e-10	0	97951	0	2049	0.00019287947043685204	X1000_S450	450.0	1000.0
11	125.09	500.0	1000	-0.1658062789394612	0.1658062789394614	-0.4974188368183838	223	334	2.661536050498401e-10	0	98772	0	1228	0.00015651747388057902	X1000_S500	500.0	1000.0
12	70.0	125.09	1000	1.1606439525762295	-1.160643952576229	0.1658062789394617	223	1000	1.562692681828687e-06	0	96121	0	3879	0.000256939525804176	X1000_S70	70.0	1000.0
13	30.0	125.09	170	1.4922565104551515	1.160643952576229	0.1658062789394612	112	223	0.001891278473604142	0	96640	0	3360	0.03938601249808435	X170_S30	30.0	170.0
14	50.0	125.09	180	1.4922565104551515	1.160643952576229	0.1658062789394612	112	223	0.0012631294072635657	0	96141	0	3859	0.010599068961261754	X180_S50	50.0	180.0
15	30.0	125.09	185	1.4922565104551515	1.160643952576229	0.1658062789394612	112	223	0.0014949916751222521	0	96795	0	3205	0.005470675606361139	X185_S30	30.0	185.0
