	mH1	mH2	mH3	b_H3_H1H2	b_H3_H1H1	b_H3_H2H2	x_H3_H1H2	x_H3_H1H1	x_H3_H2H2	x_H3_H1H2_SM1SM2	x_H3_H1_SM1_H2_SM2	x_H3_H1_SM2_H2_SM1	x_H3_H1H1_SM1SM2	x_H3_H2H2_SM1SM2
0	125.09	126.0	255.0	0.3605289055597018	0.1319189327607441	0.1448363346878849	0.24958977876831062	0.09132587355787883	0.10026843388948735	0.0006699268969640461	0.0003389144760080844	0.0003310124209559616	0.00012430434616029625	0.00013266384210038632
1	125.09	133.6326530612245	255.0	0.0	0.2666996812492016	0.0	0.0	0.18463294735612892	0.0	0.0	0.0	0.0	0.0002513053191460221	0.0
2	125.09	141.26530612244898	255.0	0.0	0.2666996812492017	0.0	0.0	0.18463294735612895	0.0	0.0	0.0	0.0	0.00025130531914602217	0.0
3	125.09	148.89795918367346	255.0	0.0	0.2666996812492017	0.0	0.0	0.18463294735612895	0.0	0.0	0.0	0.0	0.00025130531914602217	0.0
4	125.09	156.53061224489795	255.0	0.0	0.2666996812492016	0.0	0.0	0.18463294735612892	0.0	0.0	0.0	0.0	0.0002513053191460221	0.0
5	125.09	164.16326530612244	255.0	0.0	0.2666996812492017	0.0	0.0	0.18463294735612895	0.0	0.0	0.0	0.0	0.00025130531914602217	0.0
6	125.09	171.79591836734693	255.0	0.0	0.2666996812492018	0.0	0.0	0.18463294735612903	0.0	0.0	0.0	0.0	0.0002513053191460223	0.0
7	125.09	179.42857142857144	255.0	0.0	0.2666996812492017	0.0	0.0	0.18463294735612895	0.0	0.0	0.0	0.0	0.00025130531914602217	0.0
8	125.09	187.0612244897959	255.0	0.0	0.2666996812492017	0.0	0.0	0.18463294735612895	0.0	0.0	0.0	0.0	0.00025130531914602217	0.0
9	125.09	194.6938775510204	255.0	0.0	0.2666996812492017	0.0	0.0	0.18463294735612895	0.0	0.0	0.0	0.0	0.00025130531914602217	0.0
10	125.09	202.32653061224488	255.0	0.0	0.2666996812492017	0.0	0.0	0.18463294735612895	0.0	0.0	0.0	0.0	0.00025130531914602217	0.0
11	125.09	209.9591836734694	255.0	0.0	0.2666996812492018	0.0	0.0	0.18463294735612903	0.0	0.0	0.0	0.0	0.0002513053191460223	0.0
12	125.09	217.59183673469389	255.0	0.0	0.2666996812492018	0.0	0.0	0.18463294735612903	0.0	0.0	0.0	0.0	0.0002513053191460223	0.0
13	125.09	225.2244897959184	255.0	0.0	0.2666996812492019	0.0	0.0	0.18463294735612912	0.0	0.0	0.0	0.0	0.0002513053191460224	0.0
14	125.09	232.8571428571429	255.0	0.0	0.2666996812492017	0.0	0.0	0.18463294735612895	0.0	0.0	0.0	0.0	0.00025130531914602217	0.0
15	125.09	240.48979591836732	255.0	0.0	0.2666996812492017	0.0	0.0	0.18463294735612895	0.0	0.0	0.0	0.0	0.00025130531914602217	0.0
16	125.09	248.12244897959184	255.0	0.0	0.2666996812492017	0.0	0.0	0.18463294735612895	0.0	0.0	0.0	0.0	0.00025130531914602217	0.0
17	125.09	126.0	263.0612244897959	0.413588720172078	0.1414168840145786	0.1822950512442248	0.27333408446330304	0.09346012749983976	0.12047584594014037	0.0007336592705945307	0.00037115653721149717	0.00036250273338303356	0.00012720929555152602	0.00015940000240084498
18	125.09	133.6326530612245	263.0612244897959	0.3920989487293062	0.2127295722846312	0.0	0.2591318426802298	0.1405895278152106	0.0	0.0005995499808201523	0.0003348024185228679	0.0002647475622972845	0.00019135748338589928	0.0
19	125.09	141.26530612244898	263.0612244897959	0.0	0.3499411159759686	0.0	0.0	0.2312704140276393	0.0	0.0	0.0	0.0	0.0003147839323289624	0.0
20	125.09	148.89795918367346	263.0612244897959	0.0	0.3499411159759687	0.0	0.0	0.23127041402763937	0.0	0.0	0.0	0.0	0.0003147839323289625	0.0
21	125.09	156.53061224489795	263.0612244897959	0.0	0.3499411159759686	0.0	0.0	0.2312704140276393	0.0	0.0	0.0	0.0	0.0003147839323289624	0.0
22	125.09	164.16326530612244	263.0612244897959	0.0	0.3499411159759687	0.0	0.0	0.23127041402763937	0.0	0.0	0.0	0.0	0.0003147839323289625	0.0
23	125.09	171.79591836734693	263.0612244897959	0.0	0.3499411159759687	0.0	0.0	0.23127041402763937	0.0	0.0	0.0	0.0	0.0003147839323289625	0.0
24	125.09	179.42857142857144	263.0612244897959	0.0	0.3499411159759686	0.0	0.0	0.2312704140276393	0.0	0.0	0.0	0.0	0.0003147839323289624	0.0
25	125.09	187.0612244897959	263.0612244897959	0.0	0.3499411159759686	0.0	0.0	0.2312704140276393	0.0	0.0	0.0	0.0	0.0003147839323289624	0.0
26	125.09	194.6938775510204	263.0612244897959	0.0	0.3499411159759686	0.0	0.0	0.2312704140276393	0.0	0.0	0.0	0.0	0.0003147839323289624	0.0
27	125.09	202.32653061224488	263.0612244897959	0.0	0.3499411159759686	0.0	0.0	0.2312704140276393	0.0	0.0	0.0	0.0	0.0003147839323289624	0.0
28	125.09	209.9591836734694	263.0612244897959	0.0	0.3499411159759687	0.0	0.0	0.23127041402763937	0.0	0.0	0.0	0.0	0.0003147839323289625	0.0
29	125.09	217.59183673469389	263.0612244897959	0.0	0.3499411159759686	0.0	0.0	0.2312704140276393	0.0	0.0	0.0	0.0	0.0003147839323289624	0.0
30	125.09	225.2244897959184	263.0612244897959	0.0	0.3499411159759687	0.0	0.0	0.23127041402763937	0.0	0.0	0.0	0.0	0.0003147839323289625	0.0
