	ms_BP2	mx_BP2	limit_obs_BP2
0	30.0	170.0	39.38601249808435
1	50.0	180.0	10.599068961261754
2	30.0	185.0	5.470675606361139
3	15.0	190.0	7.050975514023841
4	50.0	190.0	7.371076661558836
5	70.0	200.0	1.89059215514519
6	30.0	205.0	7.88263969641261
7	50.0	205.0	3.248486145013958
8	15.0	210.0	3.110663078597404
9	70.0	210.0	1.5258105356387759
10	90.0	220.0	1.018588898009958
11	30.0	225.0	2.436375355658923
12	50.0	225.0	2.453200473110721
13	70.0	225.0	1.8115706716501951
14	100.0	230.0	1.103614583574998
15	15.0	230.0	6.724871793887542
16	90.0	230.0	1.609682071990802
17	100.0	240.0	1.907151003922606
18	110.0	240.0	1.068477789512949
19	30.0	245.0	1.595286427454576
20	50.0	245.0	1.3648951104566112
21	70.0	245.0	2.21519805131158
22	90.0	245.0	1.463638687299703
23	100.0	250.0	0.8563731242690761
24	110.0	250.0	1.358848279627979
25	15.0	250.0	3.113108867975616
26	110.0	300.0	1.04944770332093
27	30.0	300.0	1.3828807262933172
28	70.0	300.0	0.5814063827612861
29	90.0	300.0	0.603481162003865
30	110.0	325.0	0.648720420296176
31	70.0	325.0	1.174052422049778
32	90.0	325.0	0.620679588795308
33	110.0	350.0	0.6962551932263421
34	70.0	350.0	0.8361552208205371
35	90.0	350.0	0.741788384451459
36	110.0	375.0	0.6804803170193711
37	70.0	375.0	0.49407510726207704
38	90.0	375.0	0.5472945742309591
39	110.0	400.0	0.33782009140066205
40	30.0	400.0	1.095803317442339
41	70.0	400.0	0.48590646908261603
42	90.0	400.0	0.8911523420512131
43	110.0	425.0	0.41704392067113205
44	70.0	425.0	0.559448975251259
45	90.0	425.0	0.8671808940698881
46	110.0	450.0	0.6605315219722031
47	70.0	450.0	0.400259299390443
48	90.0	450.0	0.5152028598857571
49	110.0	475.0	0.687763308888478
50	70.0	475.0	0.335430118474741
51	90.0	475.0	0.35233714013918604
52	110.0	500.0	0.5377813702744131
53	30.0	500.0	0.7706400099902121
54	70.0	500.0	0.369030908511553
55	90.0	500.0	0.19875894550287201
