	ms	mx	limit_obs	limit_exp
0	110.0	1000.0	0.10084575269693401	0.15380702225512202
1	125.0	1000.0	0.13528526842058902	0.16970862438143
2	150.0	1000.0	0.135498934637623	0.15528535728140702
3	170.0	1000.0	0.133136330031898	0.151064072602166
4	185.0	1000.0	0.139012634291032	0.147781980843554
5	200.0	1000.0	0.13497257720611702	0.145076312610444
6	250.0	1000.0	0.09041051114158101	0.14438137496275302
7	300.0	1000.0	0.092099935791024	0.14232550033740002
8	350.0	1000.0	0.13416119414534902	0.15388300845826902
9	400.0	1000.0	0.132293659932394	0.158520844628563
10	450.0	1000.0	0.19287947043685202	0.159990625721804
11	500.0	1000.0	0.15651747388057902	0.16678852732677202
12	70.0	1000.0	0.256939525804176	0.200255443917212
13	30.0	170.0	39.38601249808435	24.582897075832935
14	50.0	180.0	10.599068961261754	13.919582569406478
15	30.0	185.0	5.470675606361139	8.72581486501668
16	15.0	190.0	7.050975514023841	5.606660934387272
17	50.0	190.0	7.371076661558836	7.950146073278854
18	70.0	200.0	1.89059215514519	2.7001939222747673
19	30.0	205.0	7.88263969641261	4.503164474701395
20	50.0	205.0	3.248486145013958	4.947875276888939
21	15.0	210.0	3.110663078597404	4.471746680370466
22	70.0	210.0	1.5258105356387759	2.942605832474466
23	90.0	220.0	1.018588898009958	1.2582884944498511
24	30.0	225.0	2.436375355658923	2.524122790834808
25	50.0	225.0	2.453200473110721	2.561417901431054
26	70.0	225.0	1.8115706716501951	2.515077386354958
27	100.0	230.0	1.103614583574998	1.034497324443091
28	15.0	230.0	6.724871793887542	4.936920839403939
29	90.0	230.0	1.609682071990802	1.694492109171674
30	100.0	240.0	1.907151003922606	1.356550731829355
31	110.0	240.0	1.068477789512949	0.8978096788670991
32	30.0	245.0	1.595286427454576	1.79035987927865
33	50.0	245.0	1.3648951104566112	1.802400122496158
34	70.0	245.0	2.21519805131158	2.03786633389018
35	90.0	245.0	1.463638687299703	1.713527851759047
36	100.0	250.0	0.8563731242690761	1.519190885066982
37	110.0	250.0	1.358848279627979	1.152864135815722
38	15.0	250.0	3.113108867975616	3.238575026566921
39	110.0	300.0	1.04944770332093	0.997584245145214
40	125.0	300.0	1.237288511119818	0.8584759561130311
41	150.0	300.0	0.579731738052346	0.797797048752473
42	170.0	300.0	0.760152684574377	0.5892872932899661
43	30.0	300.0	1.3828807262933172	1.2872315003898112
44	70.0	300.0	0.5814063827612861	1.082391855467695
45	90.0	300.0	0.603481162003865	0.9327528099939051
46	110.0	325.0	0.648720420296176	0.798675102826576
47	125.0	325.0	0.7912942365981781	0.798376014675307
48	150.0	325.0	1.2201098360993	0.760987318634276
49	170.0	325.0	0.718958895145682	0.6643394011295061
50	185.0	325.0	0.5342365441863071	0.5897303068765141
51	70.0	325.0	1.174052422049778	1.02761735026185
52	90.0	325.0	0.620679588795308	0.851851025944057
53	110.0	350.0	0.6962551932263421	0.6987460180118441
54	125.0	350.0	0.806933180243501	0.681635741352418
55	150.0	350.0	0.89491514056927	0.708682740984643
56	170.0	350.0	1.36397263919467	0.7407072809192561
57	185.0	350.0	1.086896046742651	0.651707053921681
58	200.0	350.0	0.8276509981542881	0.566401875318444
59	70.0	350.0	0.8361552208205371	0.704290985290076
60	90.0	350.0	0.741788384451459	0.7367930010646141
61	110.0	375.0	0.6804803170193711	0.644319118175399
62	125.0	375.0	0.780564072329996	0.629884344753978
63	150.0	375.0	0.8414947130141821	0.6085456509013241
64	170.0	375.0	0.812163164913796	0.64598045119372
65	185.0	375.0	0.711213729944392	0.7831922011052821
66	200.0	375.0	0.8452498730851361	0.8562595428330011
67	225.0	375.0	0.823128099426907	0.566075101474228
68	70.0	375.0	0.49407510726207704	0.7394682765819791
69	90.0	375.0	0.5472945742309591	0.658990129264804
70	110.0	400.0	0.33782009140066205	0.5565897902235001
71	125.0	400.0	0.520501840829518	0.585705196175338
72	150.0	400.0	1.040698525970211	0.552728016082352
73	170.0	400.0	0.620092111508667	0.5600255003067041
74	185.0	400.0	0.634220691509483	0.550775194679421
75	200.0	400.0	0.669967394621786	0.622243510914269
76	225.0	400.0	0.556115992843161	0.6306601355433771
77	250.0	400.0	0.7442129220449321	0.5473005114782891
78	30.0	400.0	1.095803317442339	1.1653271693511411
79	70.0	400.0	0.48590646908261603	0.5630445601079781
80	90.0	400.0	0.8911523420512131	0.5729430555953751
81	110.0	425.0	0.41704392067113205	0.532191525788965
82	125.0	425.0	0.509219184754513	0.47285008037555304
83	150.0	425.0	0.43706218881708303	0.46003901657131
84	170.0	425.0	0.92995815924623	0.48120172674603806
85	185.0	425.0	0.6510920366346371	0.46959990363326004
86	200.0	425.0	0.7620449978143781	0.487417888906136
87	225.0	425.0	0.426352424505666	0.793979145915619
88	250.0	425.0	0.6720262487034091	0.5679867659307131
89	70.0	425.0	0.559448975251259	0.464412392780198
90	90.0	425.0	0.8671808940698881	0.500296396821955
91	110.0	450.0	0.6605315219722031	0.443705255478172
92	125.0	450.0	0.415482154380483	0.44529137976967403
93	150.0	450.0	0.5419653262070471	0.43006243558948204
94	170.0	450.0	0.534000449635817	0.436844620685288
95	185.0	450.0	0.689190807843154	0.441512054865049
96	200.0	450.0	0.718993297687316	0.433583238910475
97	225.0	450.0	0.723711804057456	0.43515534899324204
98	250.0	450.0	0.39116999571516403	0.510433283045824
99	275.0	450.0	0.745376346596844	0.5088006568372431
100	70.0	450.0	0.400259299390443	0.404491705541388
101	90.0	450.0	0.5152028598857571	0.43412202578212705
102	110.0	475.0	0.687763308888478	0.44740347984496504
